,Unnamed: 0,label,expression,dataset,position,id,context,text
0,838,0,flourish,TroFi_ORIGSPLIT,[159 167],TroFi.o.1479,"By 1981 the lower end of the Pawtuxet , into which Ciba-Geigy had been pouring 1.2 million gallons of waste each day , could support only those organisms that flourish in sewage and toxic waste .","By 1981 the lower end of the Pawtuxet , into which Ciba-Geigy had been pouring 1.2 million gallons of waste each day , could support only those organisms that flourishflourish"
1,799,0,escape,TroFi_ORIGSPLIT,[53 59],TroFi.o.950,The kinky Keynesians who devised it will be lucky to escape across the Potomac with their pie charts .,The kinky Keynesians who devised it will be lucky to escapeescape
2,577,0,pumped,TroFi_ORIGSPLIT,[46 52],TroFi.o.2617,"Wolverine also said the Wyoming well is being pumped at a rate of 255 barrels of oil a day from a depth of 7 , 260 feet .",Wolverine also said the Wyoming well is being pumpedpumped
3,1473,0,stumbles,TroFi_ORIGSPLIT,[209 217],TroFi.o.3498,"Clark , in another deft portrait -RRB- up and down their odd homestead -- a huge , moss-covered boiler , Snopishly decorated with old car seats and broken machines -- and seemed worn and winded by the time he stumbles upon Brunnhilde on the airstrip .","Clark , in another deft portrait -RRB- up and down their odd homestead -- a huge , moss-covered boiler , Snopishly decorated with old car seats and broken machines -- and seemed worn and winded by the time he stumblesstumbles"
4,1266,0,missing,TroFi_ORIGSPLIT,[49 56],TroFi.o.2331,Some are trying to escape childhoods troubled by missing fathers or drug-addicted mothers .,Some are trying to escape childhoods troubled by missingmissing
5,353,0,sticks,TroFi_ORIGSPLIT,[53 59],TroFi.o.3251,"When mixed with the blood of infected people , CBre3 sticks to the antibodies , causing a visually observable reaction .","When mixed with the blood of infected people , CBre3 stickssticks"
6,1121,0,knocking,TroFi_ORIGSPLIT,[82 90],TroFi.o.2032,"And most of the jobs will go to candidates sought out by search firms , not those knocking on headhunter doors .","And most of the jobs will go to candidates sought out by search firms , not those knockingknocking"
7,146,0,riding,TroFi_ORIGSPLIT,[70 76],TroFi.o.2799,"I returned to the yard to keep an eye on my children , who delight in riding their scooters in the road if I will stand watch .","I returned to the yard to keep an eye on my children , who delight in ridingriding"
8,867,0,strike,TroFi_ORIGSPLIT,[145 151],TroFi.o.3259,"Donald Kessler , a project scientist at NASA 's Johnson Space Center , told an international conference on space pollution that a particle could strike and damage a spacecraft .","Donald Kessler , a project scientist at NASA 's Johnson Space Center , told an international conference on space pollution that a particle could strikestrike"
9,107,0,flooded,TroFi_ORIGSPLIT,[45 52],TroFi.o.1418,Mr. Cicerone and his colleagues slogged into flooded rice paddies a few years ago to take methane measurements .,Mr. Cicerone and his colleagues slogged into floodedflooded
10,796,0,fly,TroFi_ORIGSPLIT,[47 50],TroFi.o.1650,Mr. Tyson was in London on business and had to fly back this weekend .,Mr. Tyson was in London on business and had to flyfly
11,1479,0,lent,TroFi_ORIGSPLIT,[54 58],TroFi.o.2158,"The Canadian government agency said the funds will be lent to the Bank of China , which will make them available to the China National Technical Import & Export Corp . , which is purchasing the plants .",The Canadian government agency said the funds will be lentlent
12,1099,0,melting,TroFi_ORIGSPLIT,[78 85],TroFi.o.2200,"But the judge 's opinion said that the agitator for the vacuum cleaner `` was melting '' and `` making a loud noise , the foot pedal handle release was breaking and the vacuums were not equipped with a steel-encased motor as had been advertised to the trade , but rather with a less desirable and less reliable '' motor .",But the judge 's opinion said that the agitator for the vacuum cleaner `` was meltingmelting
13,1275,0,killed,TroFi_ORIGSPLIT,[ 9 15],TroFi.o.1931,The fire killed a building engineer trapped in an elevator and injured 40 custodial workers and firefighters .,The fire killedkilled
14,1716,0,plowing,TroFi_ORIGSPLIT,[118 125],TroFi.o.2486,"Field stone , generally rounder , is hard to come by because much is already in old stone walls , and few farmers are plowing new fields .","Field stone , generally rounder , is hard to come by because much is already in old stone walls , and few farmers are plowingplowing"
15,7,0,die,TroFi_ORIGSPLIT,[86 89],TroFi.o.540,"In small type , the ad does state that just 5 , 800 of the 241 million Americans will die this year of skin cancer and that `` odds are it wo n't be your funeral . ''/''","In small type , the ad does state that just 5 , 800 of the 241 million Americans will diedie"
