,label,expression,dataset,position,id,context,text
838,0,flourish,TroFi_ORIGSPLIT,[159 167],TroFi.o.1479,"By 1981 the lower end of the Pawtuxet , into which Ciba-Geigy had been pouring 1.2 million gallons of waste each day , could support only those organisms that flourish in sewage and toxic waste .","By 1981 the lower end of the Pawtuxet , into which Ciba-Geigy had been pouring 1.2 million gallons of waste each day , could support only those organisms that [PET_BOUNDARY]flourish[PET_BOUNDARY]flourish"
799,0,escape,TroFi_ORIGSPLIT,[53 59],TroFi.o.950,The kinky Keynesians who devised it will be lucky to escape across the Potomac with their pie charts .,The kinky Keynesians who devised it will be lucky to [PET_BOUNDARY]escape[PET_BOUNDARY]escape
577,0,pumped,TroFi_ORIGSPLIT,[46 52],TroFi.o.2617,"Wolverine also said the Wyoming well is being pumped at a rate of 255 barrels of oil a day from a depth of 7 , 260 feet .",Wolverine also said the Wyoming well is being [PET_BOUNDARY]pumped[PET_BOUNDARY]pumped
1473,0,stumbles,TroFi_ORIGSPLIT,[209 217],TroFi.o.3498,"Clark , in another deft portrait -RRB- up and down their odd homestead -- a huge , moss-covered boiler , Snopishly decorated with old car seats and broken machines -- and seemed worn and winded by the time he stumbles upon Brunnhilde on the airstrip .","Clark , in another deft portrait -RRB- up and down their odd homestead -- a huge , moss-covered boiler , Snopishly decorated with old car seats and broken machines -- and seemed worn and winded by the time he [PET_BOUNDARY]stumbles[PET_BOUNDARY]stumbles"
1266,0,missing,TroFi_ORIGSPLIT,[49 56],TroFi.o.2331,Some are trying to escape childhoods troubled by missing fathers or drug-addicted mothers .,Some are trying to escape childhoods troubled by [PET_BOUNDARY]missing[PET_BOUNDARY]missing
353,0,sticks,TroFi_ORIGSPLIT,[53 59],TroFi.o.3251,"When mixed with the blood of infected people , CBre3 sticks to the antibodies , causing a visually observable reaction .","When mixed with the blood of infected people , CBre3 [PET_BOUNDARY]sticks[PET_BOUNDARY]sticks"
1121,0,knocking,TroFi_ORIGSPLIT,[82 90],TroFi.o.2032,"And most of the jobs will go to candidates sought out by search firms , not those knocking on headhunter doors .","And most of the jobs will go to candidates sought out by search firms , not those [PET_BOUNDARY]knocking[PET_BOUNDARY]knocking"
146,0,riding,TroFi_ORIGSPLIT,[70 76],TroFi.o.2799,"I returned to the yard to keep an eye on my children , who delight in riding their scooters in the road if I will stand watch .","I returned to the yard to keep an eye on my children , who delight in [PET_BOUNDARY]riding[PET_BOUNDARY]riding"
867,0,strike,TroFi_ORIGSPLIT,[145 151],TroFi.o.3259,"Donald Kessler , a project scientist at NASA 's Johnson Space Center , told an international conference on space pollution that a particle could strike and damage a spacecraft .","Donald Kessler , a project scientist at NASA 's Johnson Space Center , told an international conference on space pollution that a particle could [PET_BOUNDARY]strike[PET_BOUNDARY]strike"
107,0,flooded,TroFi_ORIGSPLIT,[45 52],TroFi.o.1418,Mr. Cicerone and his colleagues slogged into flooded rice paddies a few years ago to take methane measurements .,Mr. Cicerone and his colleagues slogged into [PET_BOUNDARY]flooded[PET_BOUNDARY]flooded
