,Unnamed: 0.1,Unnamed: 0,sentence,score,label
316,3780,3780,Hi. Is there any news on the <url>?,0.1952684521,True
785,3243,3243,"Thank You. What is ""The Prince of Santorini"" anyway?",0.5727559566,True
194,188,188,"I'm trying to keep Minority Report as a GA, and the <url> requested for copyediting - but didn't give examples to cleanup. Can you give me some input on what to rewrite?",0.6851591484999999,True
871,3512,3512,"Incidentally, your username seems familiar. Do you contribute to SPGB-related forums by any chance?",0.4867091731,True
42,2748,2748,David Sprenkle was at the University of Illinois in 1982 (at least part of it) while I was there. Were you there too?,0.5722747246000001,True
31,3775,3775,I'll take a look. Can you give me an example?,0.0756057242599999,True
582,2866,2866,"If you live in Oslo, you probably know this better than me, but I took a look at <url> at trafikanten.no and it seems that line 1 still operates to Bergkrystallen during the rush hour. Can you check this out and if necessary restore the line 1 links to the affected station articles?",0.3069112799,True
56,2130,2130,I just saw that pic you added to <url>. Do you happen to know if that building is still standing?,0.006868226588,True
663,384,384,"Regarding <url>, <url>, <url>, <url>, <url> and <url>, may I redirect them? Should I leave the merge tag on the talk page?",0.777208395,True
946,183,183,I'm working on improving the references on Kulwicki's article to get more reliable ones. I've also worked on improving <url>'s article toward GA. Do you know much about drag racing?,0.6570830158,True
545,3657,3657,"While editing the COIN page regarding Ciplex, I accidently broke your sig. Since I don't want any more flame, could you please fix it?",1.102925698,True
40,1091,1091,"I believe in previous versions of the article, the title of that section was ""Left-libertarianism in political philosophy"". If it were changed back to something like that and moved to the top, would that be satisfactory?",0.4774944654999999,True
409,3133,3133,Thanks for your input. Can we live with this version of <url>?,0.212313015,True
245,693,693,"Huh, I've never actually bothered to use Google Book search. I'll e-mail you some stuff shortly, but here's another topic for thought: can we find any more stylistic characteristics for the genre aside from its association with underground art, its roots in punk and punk forms (hardcore and post-punk), and the fact that, judging by their lyrics, a lot of the artists seem to be miserable bastards (I love how the 1990 EW link makes a point of this)?",0.1001997997,True
273,1054,1054,Thanks for your help with <url>. I've responded to your comments - could you please take a look and let me know if you are content now?,0.9574675671,True
123,79,79,Sure thing. Did you see my note higher up on the page?,0.2467475256,True
1008,3813,3813,I don't want to be your enemy. What can I do to help this situation?,1.466577215,True
506,2997,2997,"I see <url> some <person> tags to the <url> page. Is there something in particular you feel needs citation, or did the article just look generally reference-sparse?",0.1110944063,True
