,Unnamed: 0,index,label,sentence,pos,v_index
2943,2943,1824,0,POLISH LABOR UNREST SPREAD as thousands struck for higher wages,VERB,6
26773,26773,3232,0,"But critics complain that the blitz of big fines, which generally are settled for half or less of the proposed amount, was a bombastic gimmick that did little to attack the root problems of workplace illness and injury",VERB,29
19114,19114,2301,0,"In short, a completely effective SDI would give the Soviets what they do not now have: the ability to strike the U.S. without fear of retaliation",VERB,19
19855,19855,3042,0,"The moves may also signal that more of the marketing clout at Coca- Cola may flow out of the domestic soft- drink division and upstairs to corporate headquarters, according to both insiders and industry experts",VERB,15
34598,34598,592,0,"Because$ 15 billion or more of long- term loans must be raised by whichever bidder wins the giant food company, they say, banks in lending syndicates for that deal may have trouble finding buyers in the secondary market for portions of their loans",VERB,24
4513,4513,30,0,"In case you missed it, this low- budget exploitation flick is one of the record 263 films that qualify for Academy Award nominations by virtue of the fact that they opened in 1987 and played for at least a week in Los Angeles",VERB,3
1252,1252,133,0,"He said banks soon may lower their prime, or base, lending rates, now 8 3 4%",VERB,10
4121,4121,3002,0,Some GOP insiders predict Treasury Secretary Baker will step in to direct the fall campaign,VERB,8
18250,18250,1437,0,"Iran retaliated by firing two missiles that struck Baghdad, killing or injuring an unspecified number of people",VERB,7
3449,3449,2330,0,Jan Workinger emerges from American Airlines Flight 115 and examines the faces around Gate 25,VERB,9
19591,19591,2778,0,"Most analysts expect farmers to plant 66.7 million to 70 million acres, up from 65.7 million acres last year",VERB,5
33749,33749,3480,0,"There's also New Media Network, which plans to target videocassette buyers instead of renters",VERB,8
30374,30374,3469,0,"The large study, involving 17, 187 patients treated at 417 hospitals in North America, Europe and Australia, provided the strongest evidence yet that the emergency use of a clot dissolving drug can save lives, said researchers involved in the clinical trial",VERB,29
2443,2443,1324,0,"They claim that colon cancer, which strikes more than 100, 000 Americans a year, occurs only in people who inherit a particular gene from their parents that predisposes them to the cancer",VERB,6
951,951,951,0,The suit also charges that Suzuki fraudulently withheld information about alleged design defects that give the Samurai a propensity to roll over in certain abrupt maneuvers,VERB,20
10094,10094,9,0,It's not as though the prodnoses care whether people die of lung cancer,VERB,9
20922,20922,372,0,"By hitching a ride on these proteins, drugs can be very narrowly targeted to attack diseased cells, Mr. McCamant says",VERB,12
4175,4175,3056,0,"And Mr. Gorbachev's proposal to remove aircraft -- which easily can fly back to Central Europe during a crisis -- would be meaningless unless they are destroyed, Mr. Chalmers says",VERB,26
11795,11795,2083,0,Upstairs over the bufyet is the ballroom where Natasha danced,VERB,9
5245,5245,762,0,Instead of dancing they watch rock video.',VERB,2
16941,16941,3485,0,"Imports grew at a fast rate, he said, because of the flourishing re- export trade and, to a lesser extent, because of strong domestic demand",VERB,11
15989,15989,2913,0,""" This is the kind of junk we can't even melt into other garbage, "" says a major coin wholesaler who asked to remain anonymous because he has sold other coins under the auspices of the Marshall Islands",VERB,10
18773,18773,1960,0,"The top leadership has stumbled repeatedly in development of force structure and use of force as it pursues an unfocused, open- ended commitment in the Gulf, and yet is questioned by the media only in the vaguest terms, while the military that must put such concepts into practice is left holding the bag when things go wrong",VERB,4
6335,6335,1852,0,Just as the American romance with the English garden has come to full bloom and Americans finally are pronouncing Jekyll properly -- Jeekill -- we get reliable intimations of an infinitely droughty future and must begin planting against the imminent desertification of our Anglo- style gardens,VERB,36
35447,35447,1441,0,"Companies still spend billions of dollars printing and storing forms --- and destroying them when, say, an address changes",VERB,12
8624,8624,2269,0,"This year, one from Lancaster, Pa., bought a lamp and took it home on the plane. -LRB- Irv Blumkin, Ron's brother, drove the shareholder to the airport after he lingered too long in the store and missed his bus. -RRB-/-R",VERB,36
11827,11827,2115,0,Others fly them out as personal luggage,VERB,1
34137,34137,131,0,"Among those who drink alcoholic beverages world- wide, 8% consume daily amounts that are damaging to their health and to society",VERB,3
36636,36636,3003,0,"Morally repugnant and economically absurd, the scheme would knock over homes and churches, plow up cemeteries and herd the residents into "" urban agro- industrial complexes.'",VERB,13
34517,34517,511,0,"As each diver plunges into a cage, Mr. Roessler pours a smelly dipper of chum on top of him: the initiation rite",VERB,9
36549,36549,2543,0,Farmers have planted pine trees on many former soybean fields under a government program that pays them$ 45 an acre each year to idle land,VERB,2
22758,22758,2581,0,"For the superstitious, Ms. Frese explains, it's supposed to ward off evil: Legend holds that witches can't touch it and survive",VERB,17
10247,10247,162,0,"He has been wrong on interest rates recently, again because he missed the full impact of the declining dollar, and he concedes that bond prices could fall temporarily",VERB,11
25193,25193,1279,0,"The feisty, 62-year- old director of the airline division of the Teamsters union wants 4, 300 Pan Am reservationists, ticket agents, and office and other workers to strike Pan Am Corp. after a cooling- off period that ends Sunday",VERB,27
2250,2250,1131,0,"What about the recent story that did show a corpse? -LRB- "" Portrait of Evil, "" was about a man who killed his parents. -RRB-/-R",VERB,21
32847,32847,2205,0,"After destroying two platforms, the Iranian gunboat the Joshan mounted a failed assault on the Navy ships and was quickly sunk",VERB,1
37037,37037,3404,0,Beer flowed from big pitchers as a cooling obbligato to the hot sounds,VERB,1
