,Unnamed: 0.1,Unnamed: 0,text,sentiment_label,label
792,978,978,"I have got to say that this is definitely the best cheesecake book ever. Initially, I was shopping around for one since my boyfriend's favorite dessert was cheesecake. I ran across this and decided to get it. Well, one of the best choices I could ever make, I think. This is an amazing book!  Starting from the recipes which are so numerous and so varied that they have to be divided into beverage-based, chocolate, vanilla, candy, etc., even one for light cheesecakes! Honestly, deciding which one to try the first time around was the toughest challenge when starting out. Well, I followed the instructions clearly,  as well as the first section on tips to avoid it cracking and boy, did it ever come out wonderfully! I never looked back. I've baked from it endlessly for some years now, tasting practically all of the recipes included. It's gotten to the point where I may soemtimes tweak the recipe and/or ingredients a bit and it still comes out great! My family has enjoyed all sorts of different flavors and many of my family members and friends have converted and use nothing but this to bake cheesecakes also. My copy is so beat-up from use, it may be time to get a new one. Did I mention that this is also a beautiful book? Full of wonderful (yummy-looking) glossy pictures.  My only (tiny) complaint is that on occasion, some of the ingredients may be a little hard to get but nothing too major and definitely nothing's that stopped me yet.  I do have other cheesecake books which people have given me over the years but due to simplicity, astounding variety and plain old wonderful results, this is the one I recommend the most.",0,1
210,1813,1813,"OK I havent read it yet, and it will take some effort to do so. The pages are yellowed, they are cut uneven(A first for me to witness!!) I have ordered 3 books on chinese issues, and 2 have been scams. OK, there's a lesson there somewhere - buyer beware, especially concerning chinese items!!! Their economic strategy revolves around/ begins with CHEAP MATERIALS! BUYER BEWARE",1,1
558,1888,1888,"The humor is definitely not in the book - reviews and summaries use the word ""hilarity"" however, I did not come across any situation that I would classify as even funny,  not to mention hilarious.  I thoroughly enjoyed her first novel, Pink Slip, however, this one seemed depressing.  The two main characters appeared to have no respect or show any outward love toward each other until the very end of the story.  The plot seemed to be very SLOW - the whole story took place in a matter of days, but really, nothing took place in the book.  All in all, they bought a house.  I would pass on this for better reads elsewhere",1,1
169,150,150,"Our book club read this book for our February 2006 selection.  It was a really good book, we were all excited about discussing it.  Mr. Johnson sent us discussion questions that really made us think.  A few members felt that Denmark never loved Sierra but saw her more as property.  The book definitely has some suprises that you don't see coming.  We really enjoyed the book.  Sistahs of Ebony Pages",0,1
709,1610,1610,"As I sat here writting this review my rating dropped from a three star rating to a two star rating, and I now realize that all of my malice and discontent could have easily been diverted if the book were titled ""Drawing People: A Technical Guide for Beginners"" and mentioned nary a word about the clothed figure. Then if I had of stumbled upon this book it would have been an added bonus that the author took the time to outline some basics on clothing and drappery, instead of a full out disappointment. Not that I blame the author solely, most of the blame lies at my door. I was so overjoyed in finding a book that proclaimed it was specifically about drawing the clothed figure, Brune Hogath's book aside (another devastating disappointment), and that it was written by a professor from the Academy of Art, a school that I am still deciding on attending, that instead of going my normal route (ordering the book through the store, checking it out in person, and then ordering it online so I could get a fatty discount) I impulsively bought the book, only reading the book synopsis and barely glancing over the customer reviews (which all looked favorable). Now I realise my folly, and am yet determining whether I'll pay for it (i.e. keep the book).  I guess what all of my harping boils down to is the lack of content instead of the quality, for I can easily discern Bradley is an excellent artist with years of knowledge garnered from experience, and I'd say that experience shows equally in all areas, not just clothing but in setting up a composition and following through. The problem is, at least in my opinion, that this book is supposed to specifically address clothing, and it doesn't for the most part. Roughly one fourth of the book pertains to clothing, the other three fourths talk about:  how to properly hold your drawing implement, how to properly position yourself if you are drawing                                 from a live modle, maintaing a daily sketchbook, researching your subject matter, the relationships between       the head neck and shoulders, drawing hands, drawing feet, drawing eyes, and a whole slew of other. . .I wouldn't say irrelavent, because they are relavent, but not neccessarily the most important topics pertaining to drawing the clothed figure.  A refernce guide on clothing should discuss a plethora of clothing materials, and Bradley does on one page with chicken scratch detailing. It should outline some of the rules when dealing with how clothes tend to fit people of varying body tips, again something Bradley discusses on one single page. The differnce between water logged clothing and dry clothing, she didn't bother mentioning that. How pants typically bunch up while you're walking seen from the head on, profile, three quaters, and back view, another topic she failed to mention. Some examples of evening/ formal attire vs. day clothes, how clothing reacts when the subject is in motion, how jackets restrain your actions and bunch up, the effect of wearing multiple layers at once, achieving that perfect windswept look, and all manner of other topics that should appear in an artistic clothing refernce guide.  Maybe I'm being too harsh on Bradley, after all she does mention in her preface that there aren't a whole lot of books pertain to drawing the clothed figure, and compared to the standard ""how to. . ."" books she's leaps and bounds ahead of the rest. Oh yeah, that's another thing, she doesn't outline any steps on how to achieve a realistic rendering like- first start out with a cone pointing upward then draw a sphere at the bottom/base. The sphere represents the weight of the gathered cloth so the stress lines originate from the tip of the cone and travel down the length eventually enveloping the sphere. Note the ripples. -or some junk like that. Back to me not being to harsh on Bradley, I guess in reading she is/was a professor in the arts I thought she would have some understanding of the common impediments modern day artist face when depicting clothing.  For all who have read this drawn out rant, two maybe three people, and think I'm all talk, trust me if I had the skills I'd come up with my own series of ""How to draw. . ."" books and address all of my issues. As is I'm pretty good at drawing dynamic figures, but the second I add clothing they become flat, lifeless caricatures and I don't see this book as alleviating my shortcomings much. As is my own artistic habits (drawing from magazines, online pics, and occasionally stepping outside of my cave to draw people in motion) are a match for the few helpful hints in this book. You're better off doing what you've always done plus artistically drapping to a wall or over a piece of furniture from time to time then buying this book.  If you do know of a book that addresses even half of the afore mentioned topics, if you could write a review mentioning them, somehow recommend them to me or whatever I'd be eternally in your debt",1,1
862,1042,1042,"I bought this audio CD set at the Borders store, without the opportunity to preview the narration. Had I been able to do so, I probably never would have purchased it, let alone paid full bookstore price for it. But I needed an audiobook for my long drive the next day, so I relented.  Lesson learned.  The audio quality is very insonsistent, at at times very poor, having been transcribed from the original audiotape recording.  While the author is obviously greatly informed on the historical and geopolitical details of the Middle East, it does read very much like a history text. With the amount of detail presented, and the wide scope of coverage from one end of Europe reaching into the former Soviet states and beyond, one immediately feels the need for visual aids (maps, timelines, etc.) as guidance.  The reader's narration is monotononous, with a very constant cadence which dulls the senses. Each sentence sounds the same as the last. This has the unfortunate effect of rendering each piece of information presented as no more significant than any other, and so all of the events seem to be lost to obscurity. After a while, the narration becomes little more than background noise. No information is retained by the listener",1,1
159,303,303,"Great Speeches by Native Americans is the model of simplicity. Though edited by Bob Blaisdell, who presumably provides the single-paragraph introductions, the bulk of the book is simply the spoken words of Native Americans from the time of first contact in North America to the present day. Their messages speak for themselves.  A number of themes and characteristics run through these selections. One is their brevity. The speakers get to the point and make it clearly. Few inclusions run longer than five pages. There is also a level of genuine (and often sad) honesty. Many selections concern the loss of tribal lands and the American Indians' efforts to hold onto them or gain just compensation, if such a thing was possible at the time. The tone is often one of resignation, but also of appeal to the better nature of their listeners. It is not possible to say if these speeches were carefully selected for this editorial theme or not, but it appears that for several centuries the native peoples viewed, rightly or wrongly, the European and later American entry into the continent as something that words and argument and demonstrated moral behavior could combat. Even among the surrender speeches of various tribal chiefs we see the notion that no speaker could really understand what their people could have done differently to avoid such conflicts.  The style could almost be considered anti-oratorical, though the simple approach is here elevated to a style of its own. One should probably consider that many of these speeches are translated into English. Nonetheless, the organization of thought and prioritization of points shows a group of people, separated by years, language, and geography who retain a clear-headed means of addressing their listeners",0,1
878,517,517,It's an educational book to read. My child and I like reading it together,0,1
208,108,108,"It took cancer to wake me up.  I now do everything I can to inform my family and friends of the of the importance of a health lifestyle and eating habits.  This author also wrote ""What you don't know may be killing you""  These two books are great to accidently leave at a loved ones home.  They are filled with tons of improtant messages and very easy to relate to examples are given that help you understand what actually is happening to your body. My dad has gone from drinking no water to probably half of what he needs but this is a start, he will read more the next time I leave another book by accident...  This author is great!",0,1
984,1584,1584,"This book is yet another attempt at degrading the white race.  There is nothing wrong with being white, just like there is nothing wrong with being black.  If you want to hear someones idea on whats wrong with being white instead of looking at the facts then you should read this book",1,1
