,Unnamed: 0,text,label
919,2276,"in his u . s . debut , mr . schnitzler proves himself a deft pace master and stylist .",1
458,394,kinnear gives a tremendous performance .,1
915,398,kaufman creates an eerie sense of not only being there at the time of these events but the very night matthew was killed .,1
632,2617,a zinger-filled crowd-pleaser that open-minded elvis fans ( but by no means all ) will have fun with .,1
1010,656,binoche and magimel are perfect in these roles .,1
719,1244,"for the most part , director anne-sophie birot's first feature is a sensitive , extraordinarily well-acted drama .",1
747,2719,"daily struggles and simple pleasures usurp the preaching message so that , by the time the credits roll across the pat ending , a warm , fuzzy feeling prevails .",1
42,1949,mr . spielberg and his company just want you to enjoy yourselves without feeling conned . and they succeed merrily at their noble endeavor .,1
1032,3825,munch's screenplay is tenderly observant of his characters . he watches them as they float within the seas of their personalities . his scenes are short and often unexpected .,1
90,2153,nothing can detract from the affection of that moral favorite : friends will be friends through thick and thin .,1
667,2693,the movie should be credited with remembering his victims .,1
76,1982,the casting of raymond j . barry as the 'assassin' greatly enhances the quality of neil burger's impressive fake documentary .,1
545,607,bow's best moments are when he's getting busy on the basketball court because that's when he really scores .,1
1016,4089,"poignant and moving , a walk to remember is an inspirational love story , capturing the innocence and idealism of that first encounter .",1
843,3574,"terrific performances , great to look at , and funny . a little uneven to be the cat's meow , but it's good enough to be the purr .",1
707,1464,"more romantic , more emotional and ultimately more satisfying than the teary-eyed original .",1
1021,1623,"too damn weird to pass up , and for the blacklight crowd , way cheaper ( and better ) than pink floyd tickets .",1
481,4373,the banter between calvin and his fellow barbers feels like a streetwise mclaughlin group . . . and never fails to entertain .,1
846,4873,it works its magic with such exuberance and passion that the film's length becomes a part of its fun .,1
433,5021,"although melodramatic and predictable , this romantic comedy explores the friendship between five filipino-americans and their frantic efforts to find love .",1
809,1445,"good car chases , great fight scenes , and a distinctive blend of european , american and asian influences .",1
447,4509,robinson's web of suspense matches the page-turning frenzy that clancy creates .,1
941,5068,graced with the kind of social texture and realism that would be foreign in american teen comedies .,1
181,283,it's almost impossible not to be moved by the movie's depiction of sacrifice and its stirring epilogue in post-soviet russia .,1
781,3152,if you grew up on scooby -- you'll love this movie . matthew lillard is born to play shaggy !,1
811,1825,. . . a trashy little bit of fluff stuffed with enjoyable performances and a bewildering sense of self-importance,1
79,2432,"devos and cassel have tremendous chemistry -- their sexual and romantic tension , while never really vocalized , is palpable .",1
279,1941,"alain choquart's camera barely stops moving , portraying both the turmoil of the time and giving conduct a perpetual sense of urgency , which , for a film that takes nearly three hours to unspool , is both funny and irritating .",1
67,4299,"a chance to see three splendid actors turn a larky chase movie into an emotionally satisfying exploration of the very human need to be somebody , and to belong to somebody .",1
860,574,"while not as aggressively impressive as its american counterpart , "" in the bedroom , "" moretti's film makes its own , quieter observations",1
25,4594,. . . either you're willing to go with this claustrophobic concept or you're not .,1
1066,442,. . . as the story congeals you feel the pieces of the star wars saga falling into place in a way that makes your spine tingle with revelation and excitement .,1
328,3664,"this engrossing , characteristically complex tom clancy thriller is shifty in the manner in which it addresses current terrorism anxieties and sidesteps them at the same time .",1
653,1643,so purely enjoyable that you might not even notice it's a fairly straightforward remake of hollywood comedies such as father of the bride .,1
43,4649,in the end there is one word that best describes this film : honest .,1
797,3595,"like the best of godard's movies . . . it is visually ravishing , penetrating , impenetrable .",1
750,5069,"if we sometimes need comforting fantasies about mental illness , we also need movies like tim mccann's revolution no . 9 .",1
180,2043,the film's intimate camera work and searing performances pull us deep into the girls' confusion and pain as they struggle tragically to comprehend the chasm of knowledge that's opened between them .,1
844,5191,one of the best of a growing strain of daring films . . . that argue that any sexual relationship that doesn't hurt anyone and works for its participants is a relationship that is worthy of our respect .,1
149,422,"the level of maturity displayed by this 33-year-old first-time feature director is astonishing , considering her inexperience and her subject matter .",1
120,305,"you could say that it's slow at times , you could say that a few of the characters act in ways that real people wouldn't , but one thing you couldn't say is that alias betty is predictable .",1
554,2127,"it's no surprise that as a director washington demands and receives excellent performances , from himself and from newcomer derek luke .",1
103,16,illuminating if overly talky documentary .,1
526,1718,the casting of von sydow . . . is itself intacto's luckiest stroke .,1
210,4055,"while centered on the life experiences of a particular theatrical family , this marvelous documentary touches -- ever so gracefully -- on the entire history of the yiddish theater , both in america and israel .",1
263,1191,reggio's continual visual barrage is absorbing as well as thought-provoking .,1
46,4770,it may . . . work as a jaunt down memory lane for teens and young adults who grew up on televised scooby-doo shows or reruns .,1
537,834,". . . a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920's . . . the film's ending has a "" what was it all for ? "" feeling to it , but like the 1920's , the trip there is a great deal of fun .",1
889,1566,"a smart , steamy mix of road movie , coming-of-age story and political satire .",1
957,96,"in a normal screen process , these bromides would be barely enough to sustain an interstitial program on the discovery channel . but in imax 3-d , the clichés disappear into the vertiginous perspectives opened up by the photography .",1
404,2925,"suspend your disbelief here and now , or you'll be shaking your head all the way to the credits .",1
988,2765,this sci-fi techno-sex thriller starts out bizarre and just keeps getting weirder .,1
736,5326,"both exuberantly romantic and serenely melancholy , what time is it there ? may prove to be [tsai's] masterpiece .",1
453,4201,"if the film fails to fulfill its own ambitious goals , it nonetheless sustains interest during the long build-up of expository material .",1
33,4660,a great companion piece to other napoleon films .,1
626,5214,"by turns gripping , amusing , tender and heart-wrenching , laissez-passer has all the earmarks of french cinema at its best .",1
379,2683,"i am not generally a huge fan of cartoons derived from tv shows , but hey arnold ! the movie is clever , offbeat and even gritty enough to overcome my resistance .",1
226,4232,"a gem , captured in the unhurried , low-key style favored by many directors of the iranian new wave .",1
250,2296,"it's crafty , energetic and smart -- the kid is sort of like a fourteen-year old ferris bueller .",1
267,1076,"the inhospitability of the land emphasizes the spare precision of the narratives and helps to give them an atavistic power , as if they were tales that had been handed down since the beginning of time .",1
544,4835,one of the best looking and stylish animated movies in quite a while . . .,1
943,3594,"the evocative imagery and gentle , lapping rhythms of this film are infectious -- it gets under our skin and draws us in long before the plot kicks into gear .",1
803,514,"a bowel-curdling , heart-stopping recipe for terror .",1
561,3416,"the enjoyable undercover brother , a zany mix of saturday night live-style parody , '70s blaxploitation films and goofball action comedy gone wild , dishes out a ton of laughs that everyone can enjoy .",1
214,4021,tackles the difficult subject of grief and loss with such life-embracing spirit that the theme doesn't drag an audience down .,1
966,3714,"the chateau belongs to rudd , whose portrait of a therapy-dependent flakeball spouting french malapropisms . . . is a nonstop hoot .",1
323,2784,goes a long way on hedonistic gusto .,1
967,4671,a funny film .,1
831,345,a model of what films like this should be like .,1
423,1665,"the picture uses humor and a heartfelt conviction to tell a story about discovering your destination in life , but also acknowledging the places , and the people , from whence you came .",1
627,4761,"still rapturous after all these years , cinema paradiso stands as one of the great films about movie love .",1
78,1370,unflinchingly bleak and desperate,1
349,2641,"the subtitled costume drama is set in a remote african empire before cell phones , guns , and the internal combustion engine , but the politics that thump through it are as timely as tomorrow .",1
7,2188,"red dragon is less baroque and showy than hannibal , and less emotionally affecting than silence . but , like silence , it's a movie that gets under your skin .",1
29,528,"majidi's poetic love story is a ravishing consciousness-raiser , if a bit draggy at times .",1
65,2460,"contrived as this may sound , mr . rose's updating works surprisingly well .",1
622,3434,the difference between cho and most comics is that her confidence in her material is merited .,1
462,928,"an endlessly fascinating , landmark movie that is as bold as anything the cinema has seen in years .",1
1015,5290,"gangster no . 1 is solid , satisfying fare for adults .",1
83,237,remarkably accessible and affecting .,1
681,4837,denver should not get the first and last look at one of the most triumphant performances of vanessa redgrave's career . it deserves to be seen everywhere .,1
951,3399,its rawness and vitality give it considerable punch .,1
1002,1580,this comic gem is as delightful as it is derivative .,1
391,3650,it's a feel-good movie about which you can actually feel good .,1
1067,310,"finally , a genre movie that delivers -- in a couple of genres , no less .",1
365,1144,an intriguing cinematic omnibus and round-robin that occasionally is more interesting in concept than in execution .,1
121,705,an incredibly clever and superbly paced caper filled with scams within scams within scams .,1
1053,1421,"a psychological thriller with a genuinely spooky premise and an above-average cast , actor bill paxton's directing debut is a creepy slice of gothic rural americana .",1
19,4315,"world traveler might not go anywhere new , or arrive anyplace special , but it's certainly an honest attempt to get at something .",1
352,4297,"byler is too savvy a filmmaker to let this morph into a typical romantic triangle . instead , he focuses on the anguish that can develop when one mulls leaving the familiar to traverse uncharted ground .",1
425,3165,close enough in spirit to its freewheeling trash-cinema roots to be a breath of fresh air .,1
657,505,provide[s] nail-biting suspense and credible characters without relying on technology-of-the-moment technique or pretentious dialogue .,1
654,995,"an uplifting , near-masterpiece .",1
937,5117,a passionately inquisitive film determined to uncover the truth and hopefully inspire action .,1
935,4352,"melds derivative elements into something that is often quite rich and exciting , and always a beauty to behold .",1
136,1325,"it proves quite compelling as an intense , brooding character study .",1
330,4057,the immersive powers of the giant screen and its hyper-realistic images are put to perfect use in the breathtakingly beautiful outer-space documentary space station 3d .,1
641,1753,"s1m0ne's satire is not subtle , but it is effective . it's a quirky , off-beat project . . . .",1
1050,2511,k-19 : the widowmaker is a great yarn .,1
58,1924,"family portrait of need , neurosis and nervy negativity is a rare treat that shows the promise of digital filmmaking .",1
23,1364,"macdowell , whose wifty southern charm has anchored lighter affairs . . . brings an absolutely riveting conviction to her role .",1
101,2126,a polished and vastly entertaining caper film that puts the sting back into the con .,1
637,1690,"despite its shortcomings , girls can't swim represents an engaging and intimate first feature by a talented director to watch , and it's a worthy entry in the french coming-of-age genre .",1
104,2030,succeeds only because bullock and grant were made to share the silver screen .,1
679,1811,"whenever you think you've figured out late marriage , it throws you for a loop .",1
576,2267,the film is predictable in the reassuring manner of a beautifully sung holiday carol .,1
636,1997,"yakusho , as always , is wonderful as the long-faced sad sack . . . and his chemistry with shimizu is very believable .",1
820,1110,"against all odds in heaven and hell , it creeped me out just fine .",1
670,920,the way coppola professes his love for movies -- both colorful pop junk and the classics that unequivocally qualify as art -- is giddily entertaining .,1
695,3862,"shot in rich , shadowy black-and-white , devils chronicles , with increasingly amused irony , the relationship between reluctant captors and befuddled captives .",1
402,964,the acting alone is worth the price of admission .,1
35,4589,. . . myers has turned his franchise into the movie version of an adolescent dirty-joke book done up in post-tarantino pop-culture riffs . . .,1
984,1033,escapism in its purest form .,1
363,3790,"often messy and frustrating , but very pleasing at its best moments , it's very much like life itself .",1
333,2378,the film has the uncanny ability to right itself precisely when you think it's in danger of going wrong .,1
281,4804,throws in enough clever and unexpected twists to make the formula feel fresh .,1
108,4461,the beauty of alexander payne's ode to the everyman is in the details .,1
400,74,at heart the movie is a deftly wrought suspense yarn whose richer shadings work as coloring rather than substance .,1
146,346,"as weber and weissman demonstrate with such insight and celebratory verve , the cockettes weren't as much about gender , sexual preference or political agitprop as they were simply a triumph of the indomitable human will to rebel , connect and create .",1
864,5104,"if it's unnerving suspense you're after -- you'll find it with ring , an indisputably spooky film ; with a screenplay to die for .",1
625,1129,"ao sair do cinema , eu estava feliz e com saudades de um tempo em que , para mim , a existência de papai noel era um fato inquestionável .",1
470,5228,manages to delight without much of a story .,1
236,4348,"over the years , hollywood has crafted a solid formula for successful animated movies , and ice age only improves on it , with terrific computer graphics , inventive action sequences and a droll sense of humor .",1
903,372,i whole-heartedly recommend that everyone see this movie-- for its historical significance alone .,1
361,359,"if you love reading and/or poetry , then by all means check it out . you'll probably love it .",1
927,1509,"despite its title , punch-drunk love is never heavy-handed . the jabs it employs are short , carefully placed and dead-center .",1
1095,4778,here is a vh1 behind the music special that has something a little more special behind it : music that didn't sell many records but helped change a nation .,1
676,562,"a journey through memory , a celebration of living , and a sobering rumination on fatality , classism , and ignorance .",1
663,884,"despite what anyone believes about the goal of its makers , the show . . . represents a spectacular piece of theater , and there's no denying the talent of the creative forces behind it .",1
189,1839,"a coming-of-age tale from new zealand whose boozy , languid air is balanced by a rich visual clarity and deeply felt performances across the board .",1
630,3228,a must-see for fans of thoughtful war films and those interested in the sights and sounds of battle .,1
1049,420,notorious c . h . o . has oodles of vulgar highlights .,1
746,1777,i liked this film a lot . . .,1
205,5315,many insightful moments .,1
316,718,"theirs is a simple and heart-warming story , full of mirth that should charm all but the most cynical .",1
894,3420,a wild ride of a movie that keeps throwing fastballs .,1
422,3025,it asks nothing of the audience other than to sit back and enjoy a couple of great actors hamming it up .,1
780,5313,"critics need a good laugh , too , and this too-extreme-for-tv rendition of the notorious mtv show delivers the outrageous , sickening , sidesplitting goods in steaming , visceral heaps .",1
133,2004,"just about the best straight-up , old-school horror film of the last 15 years .",1
705,4263,"claire is a terrific role for someone like judd , who really ought to be playing villains .",1
567,3118,"you wouldn't want to live waydowntown , but it is a hilarious place to visit .",1
1006,244,"though mama takes a bit too long to find its rhythm and a third-act plot development is somewhat melodramatic , its ribald humor and touching nostalgia are sure to please anyone in search of a jules and jim for the new millennium .",1
34,5173,smarter than its commercials make it seem .,1
232,918,"we can see the wheels turning , and we might resent it sometimes , but this is still a nice little picture , made by bright and friendly souls with a lot of good cheer .",1
494,497,a sensitive and expertly acted crowd-pleaser that isn't above a little broad comedy and a few unabashedly sentimental tears .,1
484,4560,"delia , greta , and paula rank as three of the most multilayered and sympathetic female characters of the year . as each of them searches for their place in the world , miller digs into their very minds to find an unblinking , flawed humanity .",1
1082,4007,superb production values & christian bale's charisma make up for a derivative plot .,1
256,2989,"mr . caine and mr . fraser are the whole show here , with their memorable and resourceful performances .",1
881,2355,"secretary manages a neat trick , bundling the flowers of perversity , comedy and romance into a strangely tempting bouquet of a movie .",1
1079,364,"it's rare to find a film that dazzles the eye , challenges the brain , and satisfies our lust for fast-paced action , but minority report delivers all that and a whole lot more .",1
518,3122,terrific casting and solid execution give all three stories life .,1
14,5076,"plunges you into a reality that is , more often then not , difficult and sad , and then , without sentimentalizing it or denying its brutality , transforms that reality into a lyrical and celebratory vision .",1
86,2277,"ultimate x is a ride , basically the kind of greatest-hits reel that might come with a subscription to espn the magazine .",1
1064,2605,the film presents visceral and dangerously honest revelations about the men and machines behind the curtains of our planet .,1
878,3841,"a simple tale of an unlikely friendship , but thanks to the gorgeous locales and exceptional lead performances , it has considerable charm .",1
389,82,"this is a startling film that gives you a fascinating , albeit depressing view of iranian rural life close to the iraqi border .",1
916,1699,"stevens has a flair for dialogue comedy , the film operates nicely off the element of surprise , and the large cast is solid .",1
315,385,"a deceivingly simple film , one that grows in power in retrospect .",1
700,1408,not since japanese filmmaker akira kurosawa's ran have the savagery of combat and the specter of death been visualized with such operatic grandeur .,1
1022,229,this is one of polanski's best films .,1
689,2286,ozpetek's effort has the scope and shape of an especially well-executed television movie .,1
139,4170,what elevates the movie above the run-of-the-mill singles blender is its surreal sense of humor and technological finish .,1
148,3985,renner carries much of the film with a creepy and dead-on performance .,1
336,4716,more sophisticated and literate than such pictures usually are . . . an amusing little catch .,1
923,4445,"in the end , the film is less the cheap thriller you'd expect than it is a fairly revealing study of its two main characters  damaged-goods people whose orbits will inevitably and dangerously collide .",1
403,2587,"a hypnotic portrait of this sad , compulsive life .",1
1074,4091,handsome and sophisticated approach to the workplace romantic comedy .,1
758,4249,stock up on silver bullets for director neil marshall's intense freight train of a film .,1
855,4734,"may not be a breakthrough in filmmaking , but it is unwavering and arresting .",1
765,390,bubba ho-tep is a wonderful film with a bravura lead performance by bruce campbell that doesn't deserve to leave the building until everyone is aware of it .,1
452,1015,"if you love motown music , you'll love this documentary .",1
696,4724,"the story that emerges has elements of romance , tragedy and even silent-movie comedy .",1
925,3695,a manically generous christmas vaudeville .,1
314,3929,maryam is more timely now than ever .,1
990,2300,a strangely stirring experience that finds warmth in the coldest environment and makes each crumb of emotional comfort feel like a 10-course banquet .,1
53,785,"a provocative movie about loss , anger , greed , jealousy , sickness and love .",1
740,2844,"although frailty fits into a classic genre , in its script and execution it is a remarkably original work .",1
18,258,a well-made and often lovely depiction of the mysteries of friendship .,1
64,4592,the modern master of the chase sequence returns with a chase to end all chases,1
710,5223,"as a thoughtful and unflinching examination of an alternative lifestyle , sex with strangers is a success .",1
638,896,the film starts out as competent but unremarkable . . . and gradually grows into something of considerable power .,1
834,5284,"although estela bravo's documentary is cloyingly hagiographic in its portrait of cuban leader fidel castro , it's still a guilty pleasure to watch .",1
574,3242,"a pleasing , often-funny comedy .",1
971,4995,""" . . . something appears to have been lost in the translation this time . the importance of being earnest movie seems to be missing a great deal of the acerbic repartee of the play . """,1
650,3001,the success of undercover brother is found in its ability to spoof both black and white stereotypes equally .,1
952,5197,"a brutal and funny work . nicole holofcenter , the insightful writer/director responsible for this illuminating comedy doesn't wrap the proceedings up neatly but the ideas tie together beautifully .",1
717,3297,o Último suspeito ganha força ao também funcionar em uma esfera adicional : a do drama familiar .,1
291,640,pray's film works well and will appeal even to those who aren't too familiar with turntablism .,1
737,292,"for anyone who remembers the '60s or is interested in one man's response to stroke , ram dass : fierce grace is worth seeking out .",1
782,5254,"although i didn't hate this one , it's not very good either . it can be safely recommended as a video/dvd babysitter .",1
836,1279,"it will not appeal to the impatient , but those who like long books and movies will admire the way it accumulates power and depth .",1
276,120,digital-video documentary about stand-up comedians is a great glimpse into a very different world .,1
548,4092,"a shimmeringly lovely coming-of-age portrait , shot in artful , watery tones of blue , green and brown .",1
887,1551,"majidi is an unconventional storyteller , capable of finding beauty in the most depressing places .",1
459,5050,"i've yet to find an actual vietnam war combat movie actually produced by either the north or south vietnamese , but at least now we've got something pretty damn close .",1
491,912,". . . does such a fine job of engulfing you in its world and allying you with its characters' choices , good and ill , that its shortcomings are remembered only as an afterthought .",1
362,2356,judith and zaza's extended bedroom sequence . . . is so intimate and sensual and funny and psychologically self-revealing that it makes most of what passes for sex in the movies look like cheap hysterics .,1
531,686,". . . spiced with humor ( 'i speak fluent flatula , ' advises denlopp after a rather , er , bubbly exchange with an alien deckhand ) and witty updatings ( silver's parrot has been replaced with morph , a cute alien creature who mimics everyone and everything around )",1
965,2905,"land , people and narrative flow together in a stark portrait of motherhood deferred and desire explored .",1
26,3722,"me no lika da accents so good , but i thoroughly enjoyed the love story . scott baio is turning in some delightful work on indie projects .",1
429,717,"es divertida , visualmente espectacular y muy entretenida . simple y sencillamente te sorprenderá .",1
239,1192,"unfortunately , it appears that [jackie] chan's us influence is starting to show in his hong kong films .",1
987,2534,"the heat of the moment prevails . it cooks conduct in a low , smoky and inviting sizzle .",1
715,2365,"a special kind of movie , this melancholic film noir reminded me a lot of memento . . .",1
709,5233,"though the aboriginal aspect lends the ending an extraordinary poignancy , and the story itself could be played out in any working class community in the nation .",1
51,4323,[stephen] earnhart's film is more about the optimism of a group of people who are struggling to give themselves a better lot in life than the ones they currently have .,1
1047,878,"there is a refreshing absence of cynicism in stuart little 2--quite a rarity , even in the family film market . eventually , it wins you over .",1
251,3866,"a summer entertainment adults can see without feeling embarrassed , but it could have been more .",1
858,630,"this warm and gentle romantic comedy has enough interesting characters to fill several movies , and its ample charms should win over the most hard-hearted cynics .",1
