,Unnamed: 0,idiom_id,idiom,sentence,emotion,usable,label
1272,1472,294,behind bars,"After countless sleepless nights, the family finally felt relief when the criminal was put behind bars.",Relief,True,True
3955,4592,918,do one's bit,"Just as the sun brightens up the sky, Paul consistently tries to do his share in maintaining the environment by planting trees regularly.",Admiration,True,True
723,830,166,as the day is long,"His dedication to the project never wavers, remaining strong as the day is long.",Admiration,True,True
4063,4714,942,don't get me started,Don't get me started on how much I like their cooking; it always makes me want more!,Pleasure,True,True
4535,5288,1057,esprit de corps,"When the going gets tough, our esprit de corps helps us stand united and face the challenges together.",Relief,True,True
7742,9014,1802,if nothing else,"If nothing else, we have food to last us through the week.",Gratitude,True,True
2972,3434,686,claim to fame,"My little sister's claim to fame among our family is her delectable cheesecake recipe, bringing delight at every gathering.",Happiness,True,True
6756,7878,1575,ham it up,"The comedian decided to ham it up for his audience, changing the mood from tense to light-hearted.",Relief,True,True
5415,6306,1261,free space,"After weeks of searching for the right home, finding a place with a large backyard felt like we had finally discovered a free space to roam.",Relief,True,True
6077,7087,1417,go a long way,She was always told that a little kindness can go a long way in making someone's day better.,Hope,True,True
7482,8723,1744,hold up one's end,The team breathed a collective sigh of relief when they saw John holding up his end of the project.,Relief,True,True
3820,4429,885,deliver the goods,The look on her face when she delivered the goods and won the championship was pure bliss.,Happiness,True,True
617,708,141,answer for,I couldn't believe he was willing to answer for my mistakes; his support left me speechless.,Gratitude,True,True
64,77,15,I'd say,"After hearing his heartfelt apology, I'd say forgiveness is just around the corner.",Gratitude,True,True
3957,4594,918,do one's bit,"During the fundraiser, people from all walks of life eagerly volunteered, doing their part to create a better world for everyone.",Hope,True,True
4186,4870,974,draw a line,"They decided to draw a line between their personal and professional lives, leading to a sense of relief.",Relief,True,True
4739,5526,1105,fall out,I felt a sense of relief when I discovered that the fall out from the team had no impact on our project's success.,Relief,True,True
3622,4196,839,cut red tape,The initiative to cut red tape was met with admiration from local entrepreneurs.,Admiration,True,True
4669,5445,1089,fair enough,"After hearing both sides of the argument, she said ""fair enough"" and decided to compromise.",Relief,True,True
6716,7832,1566,hack away,"As the old man continued to hack away at the fallen tree, a sense of accomplishment began to wash over him.",Pride,True,True
8139,9469,1893,in the offing,"When an unexpected promotion was in the offing, I began to overflow with optimism.",Hope,True,True
5088,5923,1184,first off,"In the painting competition, first off, he couldn't help but notice his rival's incredible skills.",Admiration,True,True
2049,2356,471,break through,He always gets anxious about trying new things but watching him break through that barrier and perform on stage was amazing.,Admiration,True,True
5910,6887,1377,get the memo,She felt a wave of relief when she finally got the memo about their canceled plans for the weekend.,Relief,True,True
3004,3473,694,clean up one's act,It was relieving to see him clean up his act after years of self-destructiveness.,Relief,True,True
1220,1410,282,barrel of laughs,"Having Michael at the party was a complete barrel of laughs, and everyone enjoyed his presence.",Happiness,True,True
433,493,98,all kinds of,"Her garden was a sanctuary, filled with all kinds of beautiful, colorful flowers that brought her peace.",Serenity,True,True
3145,3638,727,come full circle,"Their relationship has come full circle, from being childhood friends to finally getting married, evoking happiness in everyone who knows them.",Happiness,True,True
6496,7572,1514,good books,"I was filled with gratitude after he lent me his favorite novel, giving me a chance to bond with it too.",Gratitude,True,True
7685,8951,1790,hunker down,"After a long week at work, she couldn't wait to hunker down with a good book and get lost in its pages.",Pleasure,True,True
7720,8990,1798,if I do say so myself,"I just baked this cake, and it tastes heavenly, if I do say so myself.",Pride,True,True
5458,6358,1271,from a mile away,The relief in the room was palpable from a mile away when the test was cancelled.,Relief,True,True
6013,7012,1402,give in,Chris was ecstatic when his stubborn brother agreed to participate in the family game night.,Happiness,True,True
4379,5098,1019,dyed-in-the-wool,Amanda felt relieved finding out that her new friend shared the same dyed-in-the-wool principles as she did.,Relief,True,True
7073,8251,1650,he-man,"She gazed at her personal trainer, admiring his he-man physique.",Admiration,True,True
5533,6445,1289,fry up,"I decided to fry up some bacon in the morning, filling the house with an aroma that could only bring happiness.",Happiness,True,True
7920,9213,1842,in no time at all,"He managed to fix my broken computer in no time at all, which left me feeling impressed and grateful.",Admiration,True,True
6407,7471,1494,go without saying,"They supported each other through thick and thin, and their shared dedication to their friendship went without saying.",Gratitude,True,True
1877,2164,432,born with a silver spoon in one's mouth,"Despite being born with a silver spoon in her mouth, she chose to dedicate her life to helping others in need.",Pride,True,True
5450,6348,1269,fresh-faced,"Despite all the hardships, the fresh-faced entrepreneur never lost optimism.",Hope,True,True
7198,8395,1679,heavy lifting,"After working tirelessly on the project, she was admired by her colleagues for doing the heavy lifting.",Admiration,True,True
3978,4619,923,do the deed,Doing the deed and standing up to the bully filled her with a sense of strength and accomplishment.,Pride,True,True
3423,3964,792,count one's blessings,"In a world filled with chaos, finding time to count your blessings can bring much-needed peace.",Serenity,True,True
1808,2086,417,boil down,The joyous expression on his face boiled down to the moment he finally achieved his goal.,Happiness,True,True
6949,8108,1621,have a mind of one's own,Her ability to think independently and having a mind of her own is what I admire the most in her.,Admiration,True,True
6633,7730,1546,green thumb,"Her flourishing garden was proof of her green thumb, giving her a sense of accomplishment and satisfaction.",Pride,True,True
6363,7417,1483,go together,I'm glad my parents finally approved of my relationship; they saw how we go together like salt and pepper.,Relief,True,True
2681,3095,619,catbird seat,"Sitting in the catbird seat, his face glowed with sheer happiness.",Happiness,True,True
6244,7283,1456,go out with a bang,"We felt relieved when she managed to go out with a bang, as we knew she'd be remembered fondly.",Relief,True,True
4803,5602,1120,far and away,The vacation was far and away more enjoyable than she had anticipated.,Pleasure,True,True
1359,1574,314,best of both worlds,"It's always a pleasure to see someone finding the best of both worlds, merging their dreams with reality.",Pleasure,True,True
8514,9904,1980,kick up one's heels,"With his newly found confidence, John started to kick up his heels whenever the opportunity arose.",Pride,True,True
3424,3965,793,country mile,"She beat me by a country mile in that race, which filled me with a sense of admiration.",Admiration,True,True
7351,8572,1714,hit the nail on the head,"I must admit, your method for solving the problem hit the nail on the head.",Gratitude,True,True
4670,5447,1089,fair enough,"After working hard on the project, he felt that receiving some praise was fair enough.",Pride,True,True
5997,6993,1398,gift that keeps on giving,"The support and encouragement he received from his mentors is a gift that keeps on giving, fueling his determination to succeed.",Pride,True,True
5499,6405,1281,from time to time,"She visits her hometown from time to time, which brings her an immense sense of happiness.",Happiness,True,True
7239,8438,1687,here's to,"Here's to the bride and groom, who are starting this wonderful life journey together.",Admiration,True,True
7345,8566,1713,hit the jackpot,"When he hit the jackpot with that job offer, his heart swelled with immense satisfaction.",Pride,True,True
4954,5771,1154,fill someone's shoes,He managed to not only fill his father's shoes but even surpassed his achievements.,Pride,True,True
6255,7296,1459,go overboard,"My heart swells with happiness when I see how much effort he puts into decorating the house, even if he does go overboard sometimes.",Happiness,True,True
4893,5702,1140,feet first,"Watching her tackle the challenge feet first, even without prior experience, filled me with admiration for her courage.",Admiration,True,True
1908,2199,439,bottom line,"The bottom line was that the event raised enough money to provide for the homeless shelter, lifting everyone's spirits.",Gratitude,True,True
8180,9513,1902,in the same boat,"Despite different backgrounds, new employees realized they were in the same boat when adapting to the company culture.",Relief,True,True
5979,6974,1394,get with the program,She finally started to feel a sense of accomplishment after she decided to get with the program and participate in the company's initiatives.,Pride,True,True
53,63,12,I rest my case,"When Lisa saw how happy her brother was after she helped him with his project, she smiled and thought, ""I rest my case.""",Gratitude,True,True
7512,8757,1751,home game,"""Despite her nerves, she managed to build a strong support system, turning the new city into a home game for her.""",Happiness,True,True
6456,7525,1505,golden handshake,"After serving the company for 40 years, she received a generous golden handshake upon her retirement.",Gratitude,True,True
4105,4765,953,double tap,She gave the soda can a double tap to make sure it wouldn't explode when she opened it.,Relief,True,True
21,25,5,Elysian Fields,"After working tirelessly for decades, he finally retired, bought a beach house, and found his own Elysian Fields.",Happiness,True,True
7843,9123,1824,in control,"After a chaotic day at work, Monica found serenity in taking control of her life.",Serenity,True,True
7946,9246,1849,in one's right mind,"After a peaceful weekend at the beach, I finally feel like I am in my right mind again.",Serenity,True,True
4362,5078,1015,dust off,His unwavering determination pushed him to dust off his old skills and prove his worth to his doubters.,Pride,True,True
2419,2788,557,by all means,"By all means, take that job you've always dreamt about, and show the world what you are capable of.",Pride,True,True
5986,6981,1396,gift horse,Don't look a gift horse in the mouth; they were kind enough to invite us!,Gratitude,True,True
1073,1231,246,back-to-back,"The team won back-to-back championships, earning praise from their fans.",Pride,True,True
592,683,136,and then some,"His new job pays well, provides amazing benefits, and then some, which allows him to live comfortably.",Relief,True,True
7159,8351,1670,heart and soul,She felt utterly drained after giving her heart and soul to the exhausting marathon.,Relief,True,True
153,175,35,Santa's workshop,The elves in Santa's workshop were working overtime to spread joy throughout the world.,Happiness,True,True
4279,4980,996,drive out,She hoped that her kindness would eventually drive out the darkness in his heart.,Hope,True,True
121,139,27,Monopoly money,"Her generosity with her wealth reminded her friends of playing with monopoly money, as she shared so much with no hesitation.",Gratitude,True,True
3171,3668,733,come into one's own,"At the beginning of the competition, Amy was unsure of her abilities, but as the day progressed, she came into her own and felt more confident.",Relief,True,True
2844,3282,656,checks and balances,Realizing how well the checks and balances worked in her project made her feel an immense gratitude towards her team.,Gratitude,True,True
8259,9603,1920,in this day and age,It's incredible how far technology has advanced in this day and age.,Admiration,True,True
699,801,160,as it happens,I couldn't help but smile as it happens that I won the lottery.,Happiness,True,True
754,862,172,ask after,Hearing his classmates ask after his well-being during his absence made him feel less alone in his struggles.,Gratitude,True,True
3468,4020,804,crash course,She received a crash course in cooking and now she's whipping up gourmet dishes like a pro.,Admiration,True,True
6133,7152,1430,go deep,"As she went deeper into the forest, the feeling of serenity surrounded her like a warm embrace.",Serenity,True,True
2736,3158,631,cave in,"Despite the onslaught of negativity, her determination never weakened, and she didn't cave in.",Pride,True,True
5546,6459,1291,full circle,"As I watched the abandoned dog find a loving home, it made me realize that its journey had come full circle.",Relief,True,True
2682,3096,619,catbird seat,His heart swelled as he found himself in the catbird seat at his dream job.,Pride,True,True
3036,3507,701,close one's eyes,"After a long day at work, all he wanted to do was close his eyes and drift off to sleep without any concerns.",Relief,True,True
5425,6316,1263,freeze out,She felt immense satisfaction when she managed to freeze out her competitor during the negotiation.,Pride,True,True
1496,1733,346,big spender,"As a big spender, he takes pleasure in living a luxurious lifestyle.",Happiness,True,True
5321,6195,1239,for old times' sake,Let's grab a drink together for old times' sake.,Happiness,True,True
8119,9447,1889,in the making,"After years of hard work, he finally saw his dreams in the making as his business grew.",Pride,True,True
6372,7427,1485,go towards,So many people in the community have come together to go towards feeding the hungry and supporting the less fortunate.,Gratitude,True,True
7639,8899,1779,hot on someone's heels,"Despite facing many obstacles, he continued to pursue his dreams, staying hot on the heels of success.",Hope,True,True
6193,7223,1444,go from strength to strength,"Every day her health seemed to go from strength to strength, providing her family with relief and joy.",Relief,True,True
6489,7564,1512,gone with the wind,"The homemade pie was so delicious, it was gone with the wind during the family dinner.",Pleasure,True,True
198,226,45,a good deal,She suddenly felt a wave of serenity when she realized she got a good deal on the tickets.,Serenity,True,True
6827,7961,1592,hang out,"It's a rainy day, so we decided to stay indoors and hang out, watching some movies together.",Serenity,True,True
1712,1979,395,"blood, sweat and tears","Their blood, sweat, and tears made the community a better place.",Gratitude,True,True
8643,10053,2010,labour of love,"Her passion for helping others led her to start a non-profit organization, a true labour of love.",Gratitude,True,True
5492,6398,1279,from the ground up,"They planted the garden from the ground up, creating a vibrant, colorful oasis.",Serenity,True,True
8425,9798,1959,jump for joy,"Seeing her son ride a bike for the first time, the proud mother jumped for joy.",Admiration,True,True
7453,8690,1738,hold someone's hand,"After receiving his diploma, he felt incredibly grateful for his parents who had held his hand throughout his educational journey.",Gratitude,True,True
8164,9495,1899,in the room,"Despite the heated debate, Janet remained the calmest in the room.",Serenity,True,True
5308,6180,1236,for good measure,"He added an extra scoop of ice cream to the sundae, just for good measure.",Pleasure,True,True
6333,7385,1477,go to sleep,"After a long, tiring day, all he wanted to do was go to sleep and escape into his dreams.",Relief,True,True
4711,5492,1098,fall into,"The moment I finished the race, I fell into a sensation of accomplishment and strength.",Pride,True,True
2750,3174,634,chain reaction,"His innovative strategy caused a chain reaction of positive changes within the company, drawing admiration from employees and competitors alike.",Admiration,True,True
3947,4582,916,do justice,"Her performance in the play did justice to the complex character she portrayed, and everyone loved it.",Admiration,True,True
2962,3423,684,cities and counties,"The first time she saw the skyline of cities and counties from afar, she couldn't help but feel a sense of awe.",Admiration,True,True
7791,9067,1813,in all honesty,"In all honesty, finally completing my project filled my heart with immense satisfaction.",Pride,True,True
87,101,20,John Doe,"""John Doe is certainly the big cheese in this company,"" the new employee remarked with awe.",Admiration,True,True
1174,1348,269,bang for the buck,There's a certain satisfaction in finding a hidden gem that gives you fantastic bang for the buck.,Pleasure,True,True
1298,1504,300,believe it or not,"Believe it or not, they reconciled after years of not speaking to each other.",Happiness,True,True
4457,5190,1038,elbow grease,I never thought I'd find such enjoyment in putting some elbow grease into fixing up this old house.,Happiness,True,True
3819,4428,885,deliver the goods,"I've been working hard to prove myself to my boss, so when I successfully delivered the goods on this project, I could practically see the respect in her eyes.",Pride,True,True
2732,3153,630,cause a stir,"The new employee caused a stir by implementing a groundbreaking invention at the office, raising everyone's spirits and high expectations.",Hope,True,True
4947,5763,1152,fill in the blank,"The manager, sensing her employee's confusion, stepped in to __fill in the blank__ when explaining the new policy.",Relief,True,True
3463,4012,802,crank up,"When they realized they were lost, they cranked up the car heater, grateful for the warmth in the cold night.",Gratitude,True,True
911,1042,208,at places,"At places like that, I can't help but think of the tremendous success she has achieved.",Admiration,True,True
5540,6453,1290,full English,"When she woke up to find a full English breakfast waiting for her, she couldn't help but feel grateful for her partner's thoughtfulness.",Gratitude,True,True
2903,3353,670,chill out,The sound of the waves crashing against the shore always makes me chill out and appreciate the beauty of nature.,Pleasure,True,True
1466,1698,339,big house,"That grand house on the hill was her dream home since she was a child, and now she's finally able to walk through its front door.",Happiness,True,True
7358,8579,1715,hit the pavement,Hitting the pavement every morning for a brisk walk brought her peace of mind and a sense of accomplishment.,Pleasure,True,True
7508,8753,1750,home away from home,"My favorite coffee shop is like a home away from home, where I can sit for hours, indulging in the aroma of brewing coffee and the chatter of fellow patrons.",Pleasure,True,True
6845,7985,1597,happily ever after,"Their love story came to a beautiful conclusion, and they lived happily ever after.",Happiness,True,True
5660,6593,1318,get a leg up,"When they provided her with a leg up, her gratitude for their support knew no bounds.",Gratitude,True,True
3844,4459,891,diamond ring,The sight of her spouse presenting the diamond ring filled her with an indescribable happiness.,Happiness,True,True
8577,9974,1994,knight in shining armor,"Watching the firefighter rescue the child from the burning building, he seemed like a real-life knight in shining armor.",Admiration,True,True
4398,5122,1024,early bird,"Ever since becoming an early bird, she noticed an improvement in her overall mood.",Happiness,True,True
965,1107,221,at the very least,"At the very least, she deserved recognition for her hard work.",Admiration,True,True
2527,2918,583,call on,It's time to call on your inner strength to face your fears.,Hope,True,True
2612,3014,602,carry a tune,"He managed to carry a tune even after years of not singing, giving him a newfound sense of pride.",Pride,True,True
7333,8553,1710,hit the fan,He experienced a strange sense of relief when his lies finally hit the fan.,Relief,True,True
5849,6813,1362,get onto,"They've been trying to get onto the property ladder for years, and at last, their dream came true.",Happiness,True,True
3613,4187,837,cut off,Cutting off that toxic person in my life brought me great peace.,Serenity,True,True
7782,9057,1811,in a walk,"During the interview, he handled the difficult questions as though they were a walk in the park.",Admiration,True,True
2411,2780,556,by all accounts,"By all accounts, his promotion was well-deserved, and the whole team celebrated his success.",Admiration,True,True
8087,9409,1881,in the hot seat,"When she was in the hot seat after her incredible performance, she felt a sense of accomplishment.",Pride,True,True
7487,8728,1745,hold water,"Their relationship advice held water, inspiring me to believe in their wisdom.",Admiration,True,True
7361,8582,1716,hit the road,"Finally, our vacation begins, so let's hit the road before the sun goes down.",Happiness,True,True
6288,7335,1467,go the extra mile,He always goes the extra mile to make sure everyone is comfortable at the party.,Gratitude,True,True
3633,4210,842,cut through,"His sharp wit always manages to cut through any tense situation, bringing a sense of relief to everyone around.",Relief,True,True
1931,2224,444,bow out,She chose to bow out of the debate after understanding the other person's perspective.,Gratitude,True,True
1670,1935,387,blessing in disguise,"When I lost my job, I was devastated, but it turned out to be a blessing in disguise, eventually leading me to a better opportunity.",Hope,True,True
5814,6771,1354,get one's foot in the door,"After months of job searching, she finally got her foot in the door, making her feel a wave of relief wash over her.",Relief,True,True
8224,9563,1912,in the way of,"She never let her fears stand in the way of her ambitions, and that inspired admiration from everyone around her.",Admiration,True,True
3973,4614,922,do someone proud,"After he saved a young child from the burning building, the whole neighborhood gathered to tell him how he had done them all proud.",Gratitude,True,True
2165,2491,498,bring to light,The hidden treasure discovered in the old house brought immense pleasure to the siblings.,Pleasure,True,True
5071,5904,1180,first among equals,"The first among equals concept gave Anna the confidence she needed to lead, creating an optimistic atmosphere for the group.",Hope,True,True
484,553,110,all the rage,Making sourdough bread at home during quarantine was all the rage.,Happiness,True,True
8340,9694,1938,it goes to show,The way they quickly fixed their problems really goes to show their determination.,Pride,True,True
1687,1953,390,blink of an eye,I felt a surge of relief when I saw my lost dog return home in the blink of an eye.,Relief,True,True
6758,7880,1576,hammer and sickle,Seeing the hammer and sickle symbol at the rally made him feel a sense of immense pride in his heritage.,Pride,True,True
8145,9475,1895,in the post,"Ever since the promotion, Jane has been feeling like she's in the post.",Happiness,True,True
1180,1355,271,bang up,He made a fantastic presentation that really banged up the competition.,Admiration,True,True
3213,3716,743,come to a close,"Thankfully, the storm's fury finally came to a close, allowing us to venture out into the calm that followed.",Relief,True,True
5924,6904,1380,get the sack,Seeing John get the sack after he took credit for my work was absolutely satisfying.,Admiration,True,True
7217,8416,1683,here to stay,"When she discovered that her favorite cafe was here to stay, a smile spread across her face.",Happiness,True,True
3532,4090,818,crown jewels,"She wore the necklace like it was her crown jewels, radiating pride and confidence.",Pride,True,True
620,711,142,answer to,"John's latest discovery was the answer to their financial woes, offering a wave of relief for his struggling family.",Relief,True,True
1084,1244,248,bad actor,It's inspiring to witness a once bad actor transform into a brilliant performer through sheer dedication.,Admiration,True,True
3197,3697,739,come out swinging,"As a rookie on the team, he decided to come out swinging to show his dedication.",Pride,True,True
3505,4062,812,cross out,"Once he achieved his goal, he crossed out the names of those who doubted him with a smirk.",Pride,True,True
3795,4400,880,deep down,"She knew deep down that she had made the right decision, and a sense of pride washed over her.",Pride,True,True
1967,2264,452,brain surgery,"Watching Sam deftly solve the Rubik's cube, Maria's eyes widened in amazement - it was as if he'd just completed brain surgery!",Admiration,True,True
3958,4595,919,do one's business,"After waiting in line for the restroom, Jane finally got a chance to do her business.",Relief,True,True
5084,5917,1183,first of all,"His friends often said that first of all, Alex should be awarded for his courage to stand up to the bully.",Admiration,True,True
7248,8449,1689,high and mighty,"When the high and mighty CEO finally recognized the employee's hard work, it was truly a moment of acknowledgement.",Admiration,True,True
7251,8452,1690,high cotton,"Despite their recent success, they never forget the time when they were not in high cotton and always lend a hand to others in need.",Gratitude,True,True
1986,2285,457,bread and butter,"Cooking has always been her bread and butter, bringing her immense satisfaction in life.",Happiness,True,True
1960,2256,451,brain surgeon,"When he realized his daughter grew up to be a successful brain surgeon, his heart swelled with immense joy.",Pride,True,True
6696,7803,1560,guilty pleasure,Listening to cheesy pop music always brought a smile to her face despite its terrible reputation.,Relief,True,True
4422,5150,1030,easy street,"John's unexpected job promotion landed him on easy street, and he's been feeling nothing but pure bliss ever since.",Happiness,True,True
1697,1963,392,blocking and tackling,Her blocking and tackling of tasks at work reassured her coworkers of their success.,Relief,True,True
4566,5322,1064,ever so,"They are ever so eager to please their boss, even at the expense of their own dignity.",Pride,True,True
5906,6881,1376,get the hang of,"The new intern was struggling initially, but she started getting the hang of the job, and that brought relief to our team.",Relief,True,True
5510,6417,1283,front foot,"The team's unwavering commitment and cooperation put them on the front foot, making their coach swell with pride.",Pride,True,True
160,183,36,Sunday best,"He donned his Sunday best for the romantic dinner, hoping to impress her with his charm and fashion sense.",Admiration,True,True
5280,6147,1229,for a fact,"He was unsure if he'd made the right decision to move across the country until he saw his dream job offer, confirming for a fact that he was on the right path.",Relief,True,True
6234,7272,1454,go out of one's way,"Despite her busy schedule, she went out of her way to spend time with the elderly in the nursing home.",Admiration,True,True
7407,8638,1727,hold it,"When she finally held it in her hands, her heart swelled with joy.",Happiness,True,True
6196,7226,1445,go hand in hand,"As the sun began to rise, the feeling of peace and tranquility seemed to go hand in hand with the dawn of a new day.",Serenity,True,True
2542,2936,587,calling card,"His generosity towards everyone in the community became his calling card, earning him their admiration.",Admiration,True,True
