,Unnamed: 0.1,Unnamed: 0,text,label,category,PET,euph_status,sentence,orig_text
2469,2469,2469,"... [PET_BOUNDARY]pulled the plug[PET_BOUNDARY] on its TouchPad and related WebOS products. The news didn't really come as a surprise to anyone following tech, given how lackluster the underlying hardware was. HP had an opportunity...",0,,pulled the plug,sometimes_euph,,"... pulled the plug on its TouchPad and related WebOS products . The news did n't really come as a surprise to anyone following tech , given how lackluster the underlying hardware was . HP had an opportunity ..."
2930,2930,2930,"when people tell you it wont cause piracy, stop trying to claim it will. you know it wont. you are simply, grasping at straws cause you want to harass me. even the admins know and have told you to [PET_BOUNDARY]lay off[PET_BOUNDARY].",0,,lay off,sometimes_euph,,"When people tell you it wont cause piracy , stop trying to claim it will . You know it wont . You are simply , grasping at straws cause you want to harass me . Even the admins know and have told you to lay off ."
1752,1752,1752,"Ayn Rand is a hack. Her ideas are shockingly [PET_BOUNDARY]underdeveloped[PET_BOUNDARY] and childishly self-centered so it's not entirely surprising that they appeal to teenagers (so many fall in love with her in college) who are still ensconced in a ""me"" universe do not yet know the work of real philosophy. However, even if her' philosophy' was in any way philosophical, her writing is still just plain awful; heavy-handed, repetitive, proselytizing pulp with poorly drawn characters and predictable outcomes. ",0,politics,underdeveloped,sometimes_euph,Her ideas are shockingly underdeveloped and childishly self-centered so it's not entirely surprising that they appeal to teenagers so many fall in love with her in college who are still ensconced in a me universe do not yet know the work of real philosophy,
2303,2303,2303,"However, when people love brands, they are actively engaged and [PET_BOUNDARY]outspoken[PET_BOUNDARY] investors in its future. Company stewards face public backlash and occasionally praise for a brand's evolution, rise and demise.",0,,outspoken,sometimes_euph,,"However , when people love brands , they are actively engaged and outspoken investors in its future . Company stewards face public backlash and occasionally praise for a brand 's evolution , rise and demise ."
2666,2666,2666,Floridian Elton Jerome Davis Jr. allegedly left his 18-month-old toddler at home with a bowl of Cheerios while he went to work. An unidentified witness found the child playing with a dog on a public road. Davis was charged [PET_BOUNDARY]with child[PET_BOUNDARY] neglect on May 21 in Okaloosa County. Read more.Mother Charged With Neglect For Dancing In Driveway While Son Slept Naked In Trash,0,,with child,sometimes_euph,,"Floridian Elton Jerome Davis Jr . allegedly left his 18-month-old toddler at home with a bowl of Cheerios while he went to work . An unidentified witness found the child playing with a dog on a public road . Davis was charged with child neglect on May 21 in Okaloosa County . &lt;a href= "" http : **29;20576; ... target= "" hplink "" ;Read more . &lt;/a; <h> Mother Charged With Neglect For Dancing In Driveway While Son Slept Naked In Trash"
2226,2226,2226,"She [PET_BOUNDARY]let go of[PET_BOUNDARY] the fear. She let go of the judgments. She let go of the confluence of opinions swarming around her head. She let go of the committee of indecision within her. She let go of all the' right' reasons. Wholly and completely, without hesitation or worry, she just let go.",0,,let go of,sometimes_euph,,"She let go of the fear . She let go of the judgments . She let go of the confluence of opinions swarming around her head . She let go of the committee of indecision within her . She let go of all the ' right ' reasons . Wholly and completely , without hesitation or worry , she just let go ."
2759,2759,2759,"""unable or [PET_BOUNDARY]indisposed[PET_BOUNDARY] to tolerate, endure or bear; not tolerant; close-minded about new or different ideas...""",0,,indisposed,sometimes_euph,,""" Unable or indisposed to tolerate , endure or bear ; Not tolerant ; close-minded about new or different ideas ... """
467,467,467,"Actually no, it can't, because after BIOS reset you have control over boot device order, because console redirection will be [PET_BOUNDARY]disabled[PET_BOUNDARY]. All PCs must be configured with a keyboard and a monitor before anything can be done ""headless"", and the same procedure has to be repeated if by any chance BIOS is reset, ESCD is erased, or CMOS battery died (yes, they ALL still have those things). ",0,physical/mental attributes,disabled,sometimes_euph,Actually no it can't because after BIOS reset you have control over boot device order because console redirection will be disabled,
1744,1744,1744,"A lot of saliva, in a really short amount of time. Another study compared the soft palates of eight different mammals, and found that a small, [PET_BOUNDARY]underdeveloped[PET_BOUNDARY] uvula was found in only two baboons. Don't Leave Us Hanging ",0,politics,underdeveloped,sometimes_euph,Another study compared the soft palates of eight different mammals and found that a small underdeveloped uvula was found in only two baboons,
2655,2655,2655,"In the one major court hearing in the case so far, in early October, McGettigan drew Lilley's ire when she told the judge that Strong's computer contained ""markers"" consistent [PET_BOUNDARY]with child[PET_BOUNDARY] pornography. Lilley said he was blind-sided by that claim and has denied it.",0,,with child,sometimes_euph,,"In the one major court hearing in the case so far , in early October , McGettigan drew Lilley 's ire when she told the judge that Strong 's computer contained "" markers "" consistent with child pornography . Lilley said he was blind-sided by that claim and has denied it ."
2106,2106,2106,"The placenta was delivered with no trouble. I wanted to see it, but Marco was grossed out. It was a lot larger than I had imagined. As Adam was [PET_BOUNDARY]getting clean[PET_BOUNDARY]ed up and footprinted, Robin stitched me up. I tore a little and was a bit upset that I might have messed things up, but Robin reassured me as she stitched: ""Don't worry, I quilt.""",0,,getting clean,sometimes_euph,,"The placenta was delivered with no trouble . I wanted to see it , but Marco was grossed out . It was a lot larger than I had imagined . As Adam was getting cleaned up and footprinted , Robin stitched me up . I tore a little and was a bit upset that I might have messed things up , but Robin reassured me as she stitched : "" Do n't worry , I quilt . """
2174,2174,2174,"It was not error to join the drug and felon-in-possession counts, even though the police found the ammo three months after the discovery of the drugs. The 10th points out officers found the ammo in the same safe as they found lots of money 3 months before, which could have been drug money. The judge's failure to follow 851 and tell Mr. was imposed was harmless because the defendant did not claim any of those convictions was [PET_BOUNDARY]invalid[PET_BOUNDARY].",0,,invalid,sometimes_euph,,"It was not error to join the drug and felon-in-possession counts , even though the police found the ammo three months after the discovery of the drugs . The 10th points out officers found the ammo in the same safe as they found lots of money 3 months before , which could have been drug money . The judge 's failure to follow 851 and tell Mr. was imposed was harmless because the defendant did not claim any of those convictions was invalid ."
2895,2895,2895,"Article 34 Citizens who have the right to vote and to stand for election and have reached to age of 23 are eligible to be elected presidents of people's courts or appointed vice-presidents of people's courts, chief judges or associate chief judges of divisions, judges or assistant judges; but persons who have ever been [PET_BOUNDARY]deprived[PET_BOUNDARY] of political rights are excluded.",0,,deprived,sometimes_euph,,"Article 34 Citizens who have the right to vote and to stand for election and have reached to age of 23 are eligible to be elected presidents of people 's courts or appointed vice-presidents of people 's courts , chief judges or associate chief judges of divisions , judges or assistant judges ; but persons who have ever been deprived of political rights are excluded ."
1244,1244,1244,"It depends. If your child is [PET_BOUNDARY]overweight[PET_BOUNDARY], it's not a @ @ @ @ @ @ @ @ @ @. If he's like my son, however (he's 16 months and just under 20 lbs), you may actually feel obligated to feed him as much as he demands. ",0,physical/mental attributes,overweight,sometimes_euph,If your child is overweight it's not a,
2022,2022,2022,"By the way, can you send me the MapQuest link for that meeting site? I want to head [PET_BOUNDARY]down there[PET_BOUNDARY] to get a good seat.",0,,down there,sometimes_euph,,"By the way , can you send me the MapQuest link for that meeting site ? I want to head down there to get a good seat ."
2709,2709,2709,tree specialists who are [PET_BOUNDARY]backed up[PET_BOUNDARY] with business say that homeowners are so terrified that they are asking to have other looming trees taken down.,0,,backed up,sometimes_euph,,Tree specialists who are backed up with business say that homeowners are so terrified that they are asking to have other looming trees taken down .
457,457,457,"The words ""Honor Guard"" are engraved at the base of the badge. A guard leaving after at least nine months of service is entitled to wear the @ @ @ @ @ @ @ @ @ @ Javascript is currently [PET_BOUNDARY]disabled[PET_BOUNDARY]. For the best experience, please enable javascript. ##561710 Norah Jones Things You Don't Have To ##561780 ",0,physical/mental attributes,disabled,sometimes_euph,A guard leaving after at least nine months of service is entitled to wear the Javascript is currently disabled,
1867,1867,1867,"Personal success, right? You are all scum, don't want to work and want to just make a scene, you don't really care about what your fighting for, you just want to fight (by saying fight, I'm saying all you want to do is @ @ @ @ @ @ @ @ @ @ make a mute point) you all are NOTHING. hopefully a hurricane or snowstorm will [PET_BOUNDARY]weed[PET_BOUNDARY] the heard out of the gene pool. Let's thin it out as much as we can. ",0,substances,weed,sometimes_euph,hopefully a hurricane or snowstorm will weed the heard out of the gene pool,
2323,2323,2323,"Alex -- One possible answer might be to change your friends, social circle, or city. If you want to be motivated, you need to be around motivated people. Whatever your goals are, it helps to be surrounded as much as possible by like-minded people. To get away from some of my patterns of life, I moved across the country and [PET_BOUNDARY]paid off[PET_BOUNDARY] greatly.",0,,paid off,sometimes_euph,,"Alex -- One possible answer might be to change your friends , social circle , or city . If you want to be motivated , you need to be around motivated people . Whatever your goals are , it helps to be surrounded as much as possible by like-minded people . To get away from some of my patterns of life , I moved across the country and paid off greatly ."
509,509,509,I don't know what the whining is about. The NFL took a giant leap in diversity by allowing the unqualified &; [PET_BOUNDARY]disadvantaged[PET_BOUNDARY] to officiate an NFL game. Isn't that what fairness is all about?,0,employment/finances,disadvantaged,sometimes_euph,The NFL took a giant leap in diversity by allowing the unqualified &; disadvantaged to officiate an NFL game,
1864,1864,1864,"They provide less uncompensated care for the poor and the elderly. ""Because of the sovereignty granted to the AMA back in the 1930? s @ @ @ @ @ @ @ @ @ @ the privilege should be withdrawn from the AMA. Because for profit hospitals can raise (bilk investors out of ) capital easier than non profit thru issuing stock only means that for profit hospitals are more likely to skim the patient populations ( the practice of only treating patitents with good insurance and leaving the rest to the wolves) in theory, it has been said that "" competition "" would "" [PET_BOUNDARY]weed[PET_BOUNDARY] out"" less efficient systems of care, but in reality, those claimed outcomes by the bantering jackyls of the insurance lobby never seem to materialize. The U.S is the only western nation without some kind of universal health care. ",0,substances,weed,sometimes_euph,Because for profit hospitals can raise bilk investors out of capital easier than non profit thru issuing stock only means that for profit hospitals are more likely to skim the patient populations the practice of only treating patitents with good insurance and leaving the rest to the wolves in theory it has been said that competition would weed out less efficient systems of care but in reality those claimed outcomes by the bantering jackyls of the insurance lobby never seem to materialize,
56,56,56,"If an O-Ring design flaw caused the destruction of the space shuttle, do you insist that the shuttle wasn't designed? Or perhaps just the O-Ring snuck in there by [PET_BOUNDARY]accident[PET_BOUNDARY]?",0,misc.,accident,sometimes_euph,Or perhaps just the O-Ring snuck in there by accident,
167,167,167,"To further add @ @ @ @ @ @ @ @ @ @, and this meant he had fill available for a sub-base. He informed me he was just now getting below the blue clay, and would likely be on schedule to deliver the good stuff the day after Josh left, and then grade and pack it [PET_BOUNDARY]between jobs[PET_BOUNDARY] when he moved machinery. ",0,employment/finances,between jobs,sometimes_euph,He informed me he was just now getting below the blue clay and would likely be on schedule to deliver the good stuff the day after Josh left and then grade and pack it between jobs when he moved machinery,
680,680,680,"Networking giant Cisco Systems (NASDAQ: CSCO) is set to release earnings after Tuesday's close on November 13, and while the company is expected to meet estimates, analysts are [PET_BOUNDARY]expecting[PET_BOUNDARY] a pessimistic outlook from company CEO John Chambers. Continued economic weakness in Europe and new threats to Cisco's technological dominance are primary drivers of the concern that has led to the stock selling off a few percent over the last five days. ",0,physical/mental attributes,expecting,sometimes_euph,Networking giant Cisco Systems NASDAQ CSCO is set to release earnings after Tuesday's close on November 13 and while the company is expected to meet estimates analysts are expecting a pessimistic outlook from company CEO John Chambers,
