,Unnamed: 0,label,expression,dataset,position,id,context,text,Unnamed: 0.2,Unnamed: 0.1,sentence,annotation,idiom,usage,variant,pos_tags,complete
306,1318,0,dancing,TroFi_ORIGSPLIT,[113 120],TroFi.o.404,"Set up on a strobe-lighted stage , Barbie and her buddies appear to move all by themselves , holding guitars and dancing up a storm amid flashing blue and pink lights .","Set up on a strobe-lighted stage , Barbie and her buddies appear to move all by themselves , holding guitars and [PET_BOUNDARY]dancing[PET_BOUNDARY]dancing",,,,,,,,,
679,1314,0,rains,TroFi_ORIGSPLIT,[58 63],TroFi.o.2699,One of their favorite songs has the line: `` It rains and rains Until the stones will break . ''/'',One of their favorite songs has the line: `` It rains and [PET_BOUNDARY]rains[PET_BOUNDARY]rains,,,,,,,,,
232,1624,0,stumbled,TroFi_ORIGSPLIT,[28 36],TroFi.o.3465,"By the time `` Trovatore '' stumbled in for the last time two weeks ago , only the Heimlich maneuver could have helped Franco Bonanome get through `` Di quella pira '' ; an old buzz saw , Fiorenza Cossotto , was rasping away at the gypsy 's music ; and Leona Mitchell drifted from pillar to pillar and all too often from the score .",By the time `` Trovatore '' [PET_BOUNDARY]stumbled[PET_BOUNDARY]stumbled,,,,,,,,,
611,405,0,targeted,TroFi_ORIGSPLIT,[24 32],TroFi.o.3562,"The peace lobby , which targeted the B-1 , virtually compelled President Carter to cancel the plane , made the MX inevitable and got the B-1 anyway .","The peace lobby , which [PET_BOUNDARY]targeted[PET_BOUNDARY]targeted",,,,,,,,,
6,1121,0,knocking,TroFi_ORIGSPLIT,[82 90],TroFi.o.2032,"And most of the jobs will go to candidates sought out by search firms , not those knocking on headhunter doors .","And most of the jobs will go to candidates sought out by search firms , not those [PET_BOUNDARY]knocking[PET_BOUNDARY]knocking",,,,,,,,,
670,1190,0,escaped,TroFi_ORIGSPLIT,[ 4 11],TroFi.o.977,"The escaped convict 's name is not Willie Horton , but Joseph Subilosky .",The [PET_BOUNDARY]escaped[PET_BOUNDARY]escaped,,,,,,,,,
812,580,0,flying,TroFi_ORIGSPLIT,[57 63],TroFi.o.1678,Flying to Slovenia from the Yugoslav south is n't unlike flying to the Midwest from the Mideast .,Flying to Slovenia from the Yugoslav south is n't unlike [PET_BOUNDARY]flying[PET_BOUNDARY]flying,,,,,,,,,
42,555,0,drink,TroFi_ORIGSPLIT,[11 16],TroFi.o.787,"Winos will drink anything if need be , but when they have the money to buy what they want , they tend to hew to the familiar . -LRB- Sales resistance may help explain why the handful of low-end products that companies have tried to launch in the past 20 years mostly have bombed. -RRB-/-RRB-",Winos will [PET_BOUNDARY]drink[PET_BOUNDARY]drink,,,,,,,,,
52,1158,0,cooling,TroFi_ORIGSPLIT,[35 42],TroFi.o.327,Beer flowed from big pitchers as a cooling obbligato to the hot sounds .,Beer flowed from big pitchers as a [PET_BOUNDARY]cooling[PET_BOUNDARY]cooling,,,,,,,,,
133,730,0,pumping,TroFi_ORIGSPLIT,[21 28],TroFi.o.2647,"The company has been pumping gas in Houston for more than 25 years , but is classified in the area as a non-major , with a market share of just 2.6 % , according to Whitney Leigh .",The company has been [PET_BOUNDARY]pumping[PET_BOUNDARY]pumping,,,,,,,,,
