,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,sentence,annotation,idiom,usage,variant,pos_tags,complete,text,label,clean_text,char_count,word_count,topic_sim_sum,topic_sim_index,topic_matches,score
238,238.0,22889,34113,"The boat was making for Tower Bridge, round the distant bend to Rain's right ; the tide was running out towards Limehouse Reach, beyond the long sweep of river to her left.",0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,round the bend,literal,insertion-other,DET NOUN VERB VERB ADP PROPN PROPN VERB DET ADJ NOUN ADP NOUN NOUN PUNCT DET NOUN VERB VERB PART ADP PROPN PROPN ADP DET ADJ NOUN ADP NOUN ADP ADJ NOUN,1.0,"The boat was making for Tower Bridge, [PET_BOUNDARY] round the distant bend [PET_BOUNDARY] to Rain's right ; the tide was running out towards Limehouse Reach, beyond the long sweep of river to her left.",0,,,,,,,
203,203.0,10725,16899,"I was quite surprised, er during the summer I went to my grandson's school fete and they had a hot air balloon demonstration there and this er, this car turned up with a trailer on the back with, I dunno, probably some name, hot air balloon name on the trailer, I thought oh yes he's gon na show us how to inflate it and i I was quite amazed from the time he unpacked the balloon to the time it actually took off was only ten minutes.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,hot air,literal,identical,PRON VERB ADV ADJ INTJ ADP DET NOUN PRON VERB ADP ADJ NOUN NOUN NOUN CCONJ PRON VERB DET ADJ NOUN NOUN NOUN ADV CCONJ DET INTJ DET NOUN VERB PART ADP DET NOUN ADP DET NOUN ADP PRON VERB ADV DET NOUN ADJ NOUN NOUN NOUN ADP DET NOUN PRON VERB INTJ INTJ PRON VERB PART VERB PRON ADV PART VERB PRON CCONJ PRON PRON VERB ADV ADJ ADP DET NOUN PRON VERB DET NOUN ADP DET NOUN PRON ADV VERB PART VERB ADV NUM NOUN,1.0,"I was quite surprised, er during the summer I went to my grandson's school fete and they had a hot air balloon demonstration there and this er, this car turned up with a trailer on the back with, I dunno, probably some name, [PET_BOUNDARY] hot air [PET_BOUNDARY] balloon name on the trailer, I thought oh yes he's gon na show us how to inflate it and i I was quite amazed from the time he unpacked the balloon to the time it actually took off was only ten minutes.",0,,,,,,,
359,359.0,18349,27638,NOTE under the OT policy the exclusion wording on MONEY has not been relaxed and still refers to ' loss of money from an unattended vehicle unless secured in its locked boot '.,0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,on the money,literal,combined-other,VERB ADP DET ADJ NOUN DET NOUN NOUN ADP PROPN VERB ADV VERB ADJ CCONJ ADV VERB ADP PUNCT NOUN ADP NOUN ADP DET ADJ NOUN ADP VERB ADP ADJ ADJ NOUN PUNCT,1.0,NOTE under the OT policy the exclusion wording [PET_BOUNDARY] on MONEY [PET_BOUNDARY] has not been relaxed and still refers to ' loss of money from an unattended vehicle unless secured in its locked boot '.,0,,,,,,,
213,213.0,16434,25382,There's a woman just up the road so I hop off the wall and run after her.,0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0,off the wall,literal,identical,ADV DET NOUN ADV ADP DET NOUN ADP PRON VERB PART DET NOUN CCONJ VERB ADP PRON,1.0,There's a woman just up the road so I hop [PET_BOUNDARY] off the wall [PET_BOUNDARY] and run after her.,0,,,,,,,
222,222.0,22492,33640,"Jane Hall had booked into the Riverside Hotel, she walked over to the reception desk and rang the bell, hello I 'm Jane Hall I 've booked a weekend stay here, ah yes Miss Hall if you would just like to sign here, here's your key, your room is six floors up, third on the right, have a nice stay.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,ring a bell,literal,combined-inflection,PROPN PROPN VERB VERB ADP DET PROPN PROPN PRON VERB ADV ADP DET NOUN NOUN CCONJ VERB DET NOUN INTJ PRON VERB PROPN PROPN PRON VERB VERB DET NOUN VERB ADV INTJ INTJ PROPN PROPN ADP PRON VERB ADV VERB PART VERB ADV ADV ADJ NOUN ADJ NOUN VERB NUM NOUN PART ADV ADP DET NOUN VERB DET ADJ NOUN,1.0,"Jane Hall had booked into the Riverside Hotel, she walked over to the reception desk and [PET_BOUNDARY] rang the bell, [PET_BOUNDARY] hello I 'm Jane Hall I 've booked a weekend stay here, ah yes Miss Hall if you would just like to sign here, here's your key, your room is six floors up, third on the right, have a nice stay.",0,,,,,,,
792,792.0,1279,1658,"Nothing moved at the crossroads, or nothing that threatened a soldier's life.",0 0 1 0 1 0 0 0 0 0 0 0,at the crossroads,literal,identical,NOUN VERB ADP DET NOUN CCONJ NOUN ADJ VERB DET NOUN NOUN,1.0,"Nothing moved [PET_BOUNDARY] at the crossroads, [PET_BOUNDARY] or nothing that threatened a soldier's life.",0,,,,,,,
721,721.0,9557,15173,"Finally, she grabbed hold of the dispenser's cooling fin whilst it was waving a krill doughnut around in a vain attempt to attract custom, pulled it close and, in a casual and unremarkable manner, moved her hand down to the dispenser's access plate and ran her fingers around the seam until she felt a magnetic bolt buzzing beneath her fingers.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,hands down,literal,inflection,ADV PRON VERB NOUN ADP DET NOUN VERB NOUN ADP PRON VERB VERB DET NOUN NOUN ADV ADP DET ADJ NOUN PART VERB NOUN VERB PRON ADV CCONJ ADP DET ADJ CCONJ ADJ NOUN VERB ADJ NOUN PART ADP DET NOUN NOUN NOUN CCONJ VERB ADJ NOUN ADP DET NOUN ADP PRON VERB DET ADJ NOUN VERB ADP ADJ NOUN,1.0,"Finally, she grabbed hold of the dispenser's cooling fin whilst it was waving a krill doughnut around in a vain attempt to attract custom, pulled it close and, in a casual and unremarkable manner, moved her [PET_BOUNDARY] hand down [PET_BOUNDARY] to the dispenser's access plate and ran her fingers around the seam until she felt a magnetic bolt buzzing beneath her fingers.",0,,,,,,,
612,612.0,18555,27844,And then you 're going up again on a surprisingly gentle rebound.,0 0 0 0 0 0 0 1 0 0 0 1,on the rebound,literal,combined-other,CCONJ ADV PRON VERB VERB PART ADV ADP DET ADV ADJ NOUN,1.0,And then you 're going up again [PET_BOUNDARY] on a surprisingly gentle rebound. [PET_BOUNDARY],0,,,,,,,
362,362.0,10092,15898,"The smallest road I could find on my not - very - good road map headed south - east from Idar towards Kaiserslautern, through the hill country of the Bergland.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0,head south,literal,inflection,DET ADJ NOUN PRON VERB VERB ADP ADJ ADV PUNCT ADV PUNCT ADJ NOUN NOUN VERB ADJ PUNCT NOUN ADP PROPN ADP PROPN ADP DET NOUN NOUN ADP DET PROPN,1.0,"The smallest road I could find on my not - very - good road map [PET_BOUNDARY] headed south [PET_BOUNDARY] - east from Idar towards Kaiserslautern, through the hill country of the Bergland.",0,,,,,,,
135,135.0,3158,4847,"This irony prompts the questions which guided the research and which form the central problem addressed by this book : since those who are subject to regulation have good economic reason not to comply, how is compliance secured, given the frailty of the criminal sanction and its virtual disuse?",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,by the book,literal,determiner-narrow,DET NOUN VERB DET NOUN ADJ VERB DET NOUN CCONJ ADJ VERB DET ADJ NOUN VERB ADP DET NOUN PUNCT ADP DET NOUN VERB ADJ ADP NOUN VERB ADJ ADJ NOUN ADV PART VERB ADV VERB NOUN VERB VERB DET NOUN ADP DET ADJ NOUN CCONJ ADJ ADJ NOUN,1.0,"This irony prompts the questions which guided the research and which form the central problem addressed [PET_BOUNDARY] by this book [PET_BOUNDARY] : since those who are subject to regulation have good economic reason not to comply, how is compliance secured, given the frailty of the criminal sanction and its virtual disuse?",0,,,,,,,
