,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,sentence,annotation,idiom,usage,variant,pos_tags,complete,text,label
0,0,27116,40410,It was reported on July 14 that President Assad had finally replied to Bush's letter of June 1.,0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0,to the letter,literal,combined-other,PRON VERB VERB ADP PROPN NUM ADP PROPN PROPN VERB ADV VERB ADP PROPN NOUN ADP PROPN NUM,1,It was reported on July 14 that President Assad had finally replied  to Bush's letter  of June 1.,False
1,1,17945,27233,JOHNNY Ekstrom last night begged Chelsea boss Ian Porterfield : ' Please don't judge me on this game. ',0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0,on the game,literal,determiner-narrow,PROPN PROPN ADJ NOUN VERB PROPN NOUN PROPN PROPN PUNCT PUNCT INTJ VERB VERB PRON ADP DET NOUN PUNCT,1,JOHNNY Ekstrom last night begged Chelsea boss Ian Porterfield : ' Please don't judge me  on this game.  ',False
2,2,24625,36698,Spotted on a fan in a department store.,1 1 0 0 0 0 0 0,spot on,literal,combined-inflection,VERB ADP DET NOUN ADP DET NOUN NOUN,1, Spotted on  a fan in a department store.,False
3,3,5483,8624,"If your bottom dweller hides all day and feeds when you 're in bed, ensure a supply of food by sliding pellet or tablet food down a tube into his lair — which will stop other greedy fish getting it.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0,down the tubes,literal,combined-inflection,ADP ADJ ADJ NOUN VERB DET NOUN CCONJ VERB ADV PRON VERB ADP NOUN VERB DET NOUN ADP NOUN ADP VERB NOUN CCONJ VERB NOUN ADP DET NOUN ADP ADJ NOUN PUNCT ADJ VERB VERB ADJ ADJ NOUN VERB PRON,1,"If your bottom dweller hides all day and feeds when you 're in bed, ensure a supply of food by sliding pellet or tablet food  down a tube  into his lair — which will stop other greedy fish getting it.",False
4,4,9718,15353,"North ~ Korea presumably has a few, and Iran is most likely pursuing a nuclear - weapons program.",0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0,have a few,literal,inflection,PROPN PUNCT PROPN ADV VERB DET ADJ CCONJ PROPN VERB ADV ADV VERB DET ADJ PUNCT NOUN NOUN,1,"North ~ Korea presumably  has a few,  and Iran is most likely pursuing a nuclear - weapons program.",False
5,5,493,699,But as she said she she just had to she couldn't stay in bed when she had kids running all over the place.,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1,all over the place,literal,identical,CCONJ ADP PRON VERB PRON PRON ADV VERB ADP PRON VERB VERB ADP NOUN ADV PRON VERB NOUN VERB ADV ADP DET NOUN,1,But as she said she she just had to she couldn't stay in bed when she had kids running  all over the place. ,False
6,6,17372,26520,Melanie kept her eyes on the witch - ball so as not to have to look at Uncle Philip.,0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0,on the ball,literal,combined-other,PROPN VERB ADJ NOUN ADP DET NOUN PUNCT NOUN ADP ADP ADV PART VERB PART VERB ADP PROPN PROPN,1,Melanie kept her eyes  on the witch - ball  so as not to have to look at Uncle Philip.,False
7,7,10192,16114,' He discoursed about his understanding of the Church and he said that we had to hold the high and the low together but for his part his sympathies were with the high.,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0,high and low,literal,insertion-determiner,PUNCT PRON VERB ADP ADJ NOUN ADP DET PROPN CCONJ PRON VERB ADP PRON VERB PART VERB DET ADJ CCONJ DET NOUN ADV CCONJ ADP ADJ NOUN ADJ NOUN VERB ADP DET NOUN,1,' He discoursed about his understanding of the Church and he said that we had to hold the  high and the low  together but for his part his sympathies were with the high.,False
8,8,28569,42234,"It slinks greyly among the marram grass ; it slides over and under barbed wire ; it makes an eagle lose direction and settles a dank wetness on his feathers ; it softens the landscape into obscurity, it hides the familiar cliffs, it turns sheep into monsters and highland cattle into roaring mountains which lurch up towards an eagle out of the clinging mist.",0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,under the wire,literal,determiner-broad,PRON VERB NOUN ADP DET NOUN NOUN PUNCT PRON VERB ADV CCONJ ADP ADJ NOUN PUNCT PRON VERB DET NOUN ADJ NOUN CCONJ VERB DET ADJ NOUN ADP ADJ NOUN PUNCT PRON VERB DET NOUN ADP NOUN PRON VERB DET ADJ NOUN PRON VERB NOUN ADP NOUN CCONJ ADJ NOUN ADP VERB NOUN ADJ VERB PART ADP DET NOUN ADP ADP DET VERB NOUN,1,"It slinks greyly among the marram grass ; it slides over and  under barbed wire  ; it makes an eagle lose direction and settles a dank wetness on his feathers ; it softens the landscape into obscurity, it hides the familiar cliffs, it turns sheep into monsters and highland cattle into roaring mountains which lurch up towards an eagle out of the clinging mist.",False
9,9,8020,12601,"I said bye then see you sometime, bye and I put the phone down, and she said what does she want then and I said oh she wanted to know where, you know she 'd gone and I said oh I haven't seen her all week you know after, while we was hanging, she was hanging pictures, erm, she come through, she said oh they look wonderful she said I 've got pictures she said, I want my mountain put up in my lounge, with that June burst out laughing, Neil went through and he, he put her pictures up and he was gone there, he said, god he said, you know literally it's a day to hang pictures, I said well don't worry about it, you know, that's what he said to do",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,get the picture,literal,combined-inflection,PRON VERB INTJ ADV VERB PRON ADV INTJ CCONJ PRON VERB DET NOUN PART CCONJ PRON VERB NOUN VERB PRON VERB ADV CCONJ PRON VERB INTJ PRON VERB PART VERB ADV PRON VERB PRON VERB VERB CCONJ PRON VERB INTJ PRON VERB VERB PRON DET NOUN PRON VERB ADP ADP PRON VERB VERB PRON VERB VERB NOUN INTJ PRON VERB PART PRON VERB INTJ PRON VERB ADJ PRON VERB PRON VERB VERB NOUN PRON VERB PRON VERB ADJ NOUN VERB PART ADP ADJ NOUN ADP DET PROPN VERB PART VERB PROPN VERB PART CCONJ PRON PRON VERB ADJ NOUN PART CCONJ PRON VERB VERB ADV PRON VERB INTJ PRON VERB PRON VERB ADV PRON DET NOUN PART VERB NOUN PRON VERB INTJ VERB VERB ADP PRON PRON VERB DET NOUN PRON VERB PART VERB,1,"I said bye then see you sometime, bye and I put the phone down, and she said what does she want then and I said oh she wanted to know where, you know she 'd gone and I said oh I haven't seen her all week you know after, while we was hanging, she was hanging pictures, erm, she come through, she said oh they look wonderful she said I 've  got pictures  she said, I want my mountain put up in my lounge, with that June burst out laughing, Neil went through and he, he put her pictures up and he was gone there, he said, god he said, you know literally it's a day to hang pictures, I said well don't worry about it, you know, that's what he said to do",False
