,Unnamed: 0.1,Unnamed: 0,text,clean_text,char_count,word_count,topic_sim_sum,topic_sim_index,topic_matches,label
618,7334,1067611,HAVA transferred the important role of citizen oversight of elections to Election Administrators and their suppliers . It changed the relationship between the citizen and the government . It privatized elections . @ @ @ @ @ @ @ @ @ @ being held to account . There is an obvious conflict of interest if the administration exclusively oversees the election process .,hava transferred the important role of citizen oversight of elections to election administrators and their suppliers . it changed the relationship between the citizen and the government . it privatized elections . @ @ @ @ @ @ @ @ @ @ being held to account . there is an obvious conflict of interest if the administration exclusively oversees the election process .,364,63,20,0.4166666666666667,"[('oversight', 'authority', 0.5246924), ('elections', 'election', 0.86722374), ('elections', 'vote', 0.566956), ('elections', 'voters', 0.5204255), ('election', 'candidate', 0.50569105), ('election', 'election', 1.0), ('election', 'vote', 0.602672), ('election', 'voters', 0.5857161), ('government', 'administration', 0.5462369), ('government', 'government', 1.0), ('elections', 'election', 0.86722374), ('elections', 'vote', 0.566956), ('elections', 'voters', 0.5204255), ('conflict', 'war', 0.55061877), ('administration', 'administration', 1.0), ('administration', 'government', 0.5462369), ('election', 'candidate', 0.50569105), ('election', 'election', 1.0), ('election', 'vote', 0.602672), ('election', 'voters', 0.5857161)]",1
126,2776,12994,"The Republican candidate had exuded confidence in recent days , buoyed by strong turnout and passionate support at his rallies across the battleground states . In his final interview with reporters shortly before the polls closed , Romney said he felt "" like we put it all on the field "" in his final push for votes .","the republican candidate had exuded confidence in recent days , buoyed by strong turnout and passionate support at his rallies across the battleground states . in his final interview with reporters shortly before the polls closed , romney said he felt "" like we put it all on the field "" in his final push for votes .",317,58,12,0.2222222222222222,"[('republican', 'democrats', 0.60743797), ('republican', 'republican', 1.0), ('candidate', 'candidate', 1.0), ('candidate', 'election', 0.50569105), ('support', 'support', 1.0), ('polls', 'election', 0.6596775), ('polls', 'poll', 0.7592546), ('polls', 'vote', 0.54250556), ('polls', 'voters', 0.61303115), ('votes', 'election', 0.50482404), ('votes', 'vote', 0.767614), ('votes', 'voters', 0.529137)]",1
876,74,1021371,"And that 's up to 5 years and $10,000.00 for each wiretap ; 1,000 wiretaps = 5,000 years in prison and a $10,000,000.00 fine . . . which sounds about right @ @ @ @ @ @ @ @ @ @ not apply to the president . The law applies ONLY to government employees , and President Carter 's signing statement made it clear what he agreed to when he signed it into law :","and that 's up to  years and $,. for each wiretap ; , wiretaps = , years in prison and a $,,. fine . . . which sounds about right @ @ @ @ @ @ @ @ @ @ not apply to the president . the law applies only to government employees , and president carter 's signing statement made it clear what he agreed to when he signed it into law :",328,74,11,0.2,"[('prison', 'prison', 1.0), ('president', 'president', 1.0), ('law', 'law', 1.0), ('law', 'legislation', 0.58004606), ('law', 'rule', 0.5247162), ('government', 'administration', 0.5462369), ('government', 'government', 1.0), ('president', 'president', 1.0), ('law', 'law', 1.0), ('law', 'legislation', 0.58004606), ('law', 'rule', 0.5247162)]",1
687,7927,1379471,He further called for : a European financial transaction tax ; a European-wide regulatory and supervisory framework ; the allocation to education of unused structural funds ; a fight against corruption ; the prevention of the privatisation of education services ; as well as a democratic debate on whether @ @ @ @ @ @ @ @ @ @ Australian good practice example : I give a Gonski campaign,he further called for : a european financial transaction tax ; a european-wide regulatory and supervisory framework ; the allocation to education of unused structural funds ; a fight against corruption ; the prevention of the privatisation of education services ; as well as a democratic debate on whether @ @ @ @ @ @ @ @ @ @ australian good practice example : i give a gonski campaign,385,69,13,0.25,"[('financial', 'fiscal', 0.50823987), ('tax', 'tax', 1.0), ('education', 'education', 1.0), ('education', 'school', 0.50553805), ('funds', 'funding', 0.65487075), ('funds', 'money', 0.70552033), ('fight', 'fighting', 0.79230136), ('education', 'education', 1.0), ('education', 'school', 0.50553805), ('democratic', 'democrats', 0.55152744), ('democratic', 'republican', 0.505419), ('debate', 'debate', 1.0), ('campaign', 'campaign', 1.0)]",1
164,5757,435254,"Do you see @ @ @ @ @ @ @ @ @ @ primaries ? Have you ever sat in the school classroom where your precinct elects a president , vice president , secretary , and delegates to the county level ? Have you then gone on to sit in the county convention while the county elects it 's delegates and alternates ? Have you then sat at the state convention and watched the election of your national delegates get hijacked by national party bosses ?","do you see @ @ @ @ @ @ @ @ @ @ primaries ? have you ever sat in the school classroom where your precinct elects a president , vice president , secretary , and delegates to the county level ? have you then gone on to sit in the county convention while the county elects it 's delegates and alternates ? have you then sat at the state convention and watched the election of your national delegates get hijacked by national party bosses ?",435,86,12,0.1739130434782608,"[('primaries', 'election', 0.6236975), ('primaries', 'voters', 0.50812757), ('school', 'education', 0.50553805), ('school', 'school', 0.99999994), ('classroom', 'school', 0.6281621), ('president', 'president', 1.0), ('president', 'president', 1.0), ('election', 'candidate', 0.50569105), ('election', 'election', 1.0), ('election', 'vote', 0.602672), ('election', 'voters', 0.5857161), ('party', 'parties', 0.67454803)]",1
885,3636,993131,"JPMorgan Chase &; Co. gave more money in the 2011-2012 election cycle than any other commercial bank . Of its $1.7 million in contributions , more than half went to Republican candidates and causes , according to the Center for Responsive Politics .","jpmorgan chase &; co. gave more money in the - election cycle than any other commercial bank . of its $. million in contributions , more than half went to republican candidates and causes , according to the center for responsive politics .",239,43,12,0.3076923076923077,"[('money', 'money', 1.0), ('election', 'candidate', 0.50569105), ('election', 'election', 1.0), ('election', 'vote', 0.602672), ('election', 'voters', 0.5857161), ('bank', 'banks', 0.7440759), ('republican', 'democrats', 0.60743797), ('republican', 'republican', 1.0), ('candidates', 'candidate', 0.79427433), ('candidates', 'election', 0.507066), ('candidates', 'voters', 0.5279368), ('politics', 'politics', 0.99999994)]",1
1095,9086,959986,"Goode proposed spending cuts in various areas . Another of his much-touted concepts was term limits for elected officials , so that they can do their best possible work in office instead of constantly fundraising to get reelected . He conceded that such a proposal would be fought tooth and nail in Washington , and might require a grandfather clause allowing sitting politicians to serve until they retire .","goode proposed spending cuts in various areas . another of his much-touted concepts was term limits for elected officials , so that they can do their best possible work in office instead of constantly fundraising to get reelected . he conceded that such a proposal would be fought tooth and nail in washington , and might require a grandfather clause allowing sitting politicians to serve until they retire .",408,69,17,0.265625,"[('spending', 'budget', 0.56915724), ('spending', 'spending', 1.0), ('cuts', 'budget', 0.5091997), ('cuts', 'cuts', 1.0), ('limits', 'restrictions', 0.6447642), ('elected', 'election', 0.56267977), ('officials', 'investigators', 0.50950015), ('officials', 'officials', 0.99999994), ('fundraising', 'campaign', 0.5505678), ('reelected', 'election', 0.52565897), ('proposal', 'bill', 0.5933779), ('proposal', 'legislation', 0.57617754), ('fought', 'fighting', 0.65915954), ('politicians', 'democrats', 0.5317054), ('politicians', 'government', 0.5145743), ('politicians', 'lawmakers', 0.5712386), ('politicians', 'politics', 0.5705571)]",1
565,8783,1536689,""" Devereux was forced to hire union carpenters to work with us to appease the union , "" No one was forced to do anything . It was a public pressure campaign that was successful . It 's a free market , and that business had a choice to not contract with the art museum . The market is full of choices , and this is just a story of different sides exercising their choices . True capitalist would agree this is the best way to settle a labor dispute in a free-market , free from government intervention .",""" devereux was forced to hire union carpenters to work with us to appease the union , "" no one was forced to do anything . it was a public pressure campaign that was successful . it 's a free market , and that business had a choice to not contract with the art museum . the market is full of choices , and this is just a story of different sides exercising their choices . true capitalist would agree this is the best way to settle a labor dispute in a free-market , free from government intervention .",502,99,13,0.1444444444444444,"[('union', 'labor', 0.5315647), ('union', 'strike', 0.5092126), ('union', 'union', 1.0), ('union', 'labor', 0.5315647), ('union', 'strike', 0.5092126), ('union', 'union', 1.0), ('campaign', 'campaign', 1.0), ('market', 'prices', 0.51924664), ('market', 'prices', 0.51924664), ('labor', 'labor', 1.0), ('labor', 'union', 0.5315647), ('government', 'administration', 0.5462369), ('government', 'government', 1.0)]",1
86,3700,1002679,"Gay men represent 5% of the population , but 15% of rape victims . Straight men represent 45% of the population , but 6% of rape victims . All women represent 50% of the population , but 78% of rape victims .","gay men represent % of the population , but % of rape victims . straight men represent % of the population , but % of rape victims . all women represent % of the population , but % of rape victims .",198,42,13,0.4333333333333333,"[('gay', 'sex', 0.53366035), ('rape', 'abuse', 0.50282216), ('rape', 'murder', 0.6630348), ('rape', 'sex', 0.5379458), ('victims', 'victim', 0.67437744), ('rape', 'abuse', 0.50282216), ('rape', 'murder', 0.6630348), ('rape', 'sex', 0.5379458), ('victims', 'victim', 0.67437744), ('rape', 'abuse', 0.50282216), ('rape', 'murder', 0.6630348), ('rape', 'sex', 0.5379458), ('victims', 'victim', 0.67437744)]",1
363,105,1454595,"Terrorist tactics evolved during the year . AQI continued to conduct numerous suicide bombings and was able to mount multiple coordinated attacks on several occasions , while Shia extremist groups used rockets and mortars to attack Iraqi and U.S. government sites . Terrorists increasingly used assassinations to target government officials and tribal leaders . On two occasions , KH and AAH conducted deadly attacks on U.S. sites using improvised rocket-assisted munitions .","terrorist tactics evolved during the year . aqi continued to conduct numerous suicide bombings and was able to mount multiple coordinated attacks on several occasions , while shia extremist groups used rockets and mortars to attack iraqi and u.s. government sites . terrorists increasingly used assassinations to target government officials and tribal leaders . on two occasions , kh and aah conducted deadly attacks on u.s. sites using improvised rocket-assisted munitions .",475,72,13,0.1969696969696969,"[('attacks', 'attack', 0.763803), ('attack', 'attack', 1.0), ('government', 'administration', 0.5462369), ('government', 'government', 1.0), ('government', 'administration', 0.5462369), ('government', 'government', 1.0), ('officials', 'investigators', 0.50950015), ('officials', 'officials', 0.99999994), ('leaders', 'leadership', 0.5006184), ('leaders', 'officials', 0.54851913), ('deadly', 'killing', 0.51254004), ('attacks', 'attack', 0.763803), ('munitions', 'weapons', 0.6784886)]",1
